supplement_name,symptom_name,context,description
Vitamin B-12,Low Vitamin B-12 Levels,interaction,Bile acid sequestrants (cholestyramine).Taking bile acid sequestrants may interfere with B-12 absorption.  A healthcare professional might suggest taking vitamin B-12 supplements to avoid the risk of low vitamin B-12 levels.
Vitamin C,Side Effects,side_effect,"When taken at suggested doses by mouth, vitamin C supplements are mostly safe.  Taking too much vitamin C can cause side effects, including:"
Vitamin C,"Upset Stomach, Vomiting And Loose Stools",side_effect,"Upset stomach, vomiting and loose stools."
Vitamin C,Heartburn,side_effect,Heartburn.
Vitamin C,Stomach Cramps Or Bloating,side_effect,Stomach cramps or bloating.
Vitamin C,"Tiredness And Sleepiness Or Not Being Able To Sleep, Called Insomnia",side_effect,"Tiredness and sleepiness or not being able to sleep, called insomnia."
Vitamin C,Headache,side_effect,Headache
Vitamin C,Kidney Stones,side_effect,"In some people, oral vitamin C supplements may cause kidney stones. This mainly happens in people who take high doses of the supplements.  Long-term use of oral vitamin C supplements over 2,000 milligrams a day raises the risk of serious side effects."
Vitamin C,Serious Side Effects,side_effect,"In some people, oral vitamin C supplements may cause kidney stones. This mainly happens in people who take high doses of the supplements.  Long-term use of oral vitamin C supplements over 2,000 milligrams a day raises the risk of serious side effects."
Vitamin C,G6Pdh Deficiency,side_effect,"High doses of vitamin C can cause hemolytic anemia in people who have a condition called G6PDH deficiency, which is passed through families."
Vitamin C,Blood Sugar Screening Tests Or Stool Tests For Hidden Blood,side_effect,"Before having medical tests, tell your healthcare professional that you take vitamin C supplements. High levels of vitamin C might affect the results of certain tests, such as blood sugar screening tests or stool tests for hidden blood, also called occult blood."
Vitamin C,Occult Blood,side_effect,"Before having medical tests, tell your healthcare professional that you take vitamin C supplements. High levels of vitamin C might affect the results of certain tests, such as blood sugar screening tests or stool tests for hidden blood, also called occult blood."
Vitamin C,Phosphate Binders,interaction,"Aluminum.Taking vitamin C can make you take in more aluminum from medicines that have aluminum, such as phosphate binders. This can be harmful for people with kidney conditions."
Vitamin C,Hemochromatosis,interaction,"Iron.Vitamin C makes the body absorb more iron. Getting more iron can be harmful for people who have a condition that causes too much iron in the body, called hemochromatosis."
Vitamin D,Upset Stomach And Vomiting,side_effect,Upset stomach and vomiting.
Vitamin D,Weight Loss And Not Wanting To Eat,side_effect,Weight loss and not wanting to eat.
Vitamin D,Muscle Weakness,side_effect,Muscle weakness.
Vitamin D,Not Being Able To Think Clearly Or Quickly,side_effect,Not being able to think clearly or quickly.
Vitamin D,Heart Rhythm Issues,side_effect,Heart rhythm issues.
Vitamin D,Kidney Stones And Kidney Damage,side_effect,Kidney stones and kidney damage.
Vitamin D,Hypercalcemia,interaction,"Calcipotriene (Dovonex, Sorilux).Don't take vitamin D with this psoriasis medicine. Mixing the two might raise the risk of having too much calcium in the blood, called hypercalcemia."
Vitamin D,Cyp3A4 Substrates,interaction,"Cytochrome P450 3A4 substrates, also called CYP3A4 substrates.Use vitamin D with care if you take a medicine affected by these enzymes. One such medicine is the cholesterol-lowering medicine lovastatin (Altoprev)."
Vitamin D,Hypercalcemia,interaction,"Digoxin (Lanoxin).Don't take high doses of vitamin D with this heart medicine. High doses of vitamin D can cause too much calcium in the blood, called hypercalcemia. Hypercalcemia raises the risk of fatal heart conditions with digoxin."
Vitamin D,Hypercalcemia,interaction,"Diltiazem (Cardizem, Tiazac, others).Don't take high doses of vitamin D with this blood pressure medicine. High doses of vitamin D can cause too much calcium in the blood, called hypercalcemia. Hypercalcemia may keep the medicine from working as it should."
Vitamin D,Hypercalcemia,interaction,"Thiazide diuretics.Taking these blood pressure medicines with vitamin D raises the risk of too much calcium in the blood, called hypercalcemia."
Vitamin D,Hypercalcemia,interaction,"Verapamil (Verelan).Taking high doses of vitamin D with this blood pressure medicine can cause too much calcium in the blood, called hypercalcemia. High doses of vitamin D also might keep verapamil from working as well."
Vitamin E,Upset Stomach,side_effect,Upset stomach.
Vitamin E,Loose Stools,side_effect,Loose stools.
Vitamin E,Belly Cramps,side_effect,Belly cramps.
Vitamin E,Tiredness,side_effect,Tiredness.
Vitamin E,Weakness,side_effect,Weakness.
Vitamin E,Headache,side_effect,Headache.
Vitamin E,Blurred Vision,side_effect,Blurred vision.
Vitamin E,Rash,side_effect,Rash.
Vitamin E,Side Effects,side_effect,"Taking higher doses of vitamin E might raise the risk of side effects. Also, people with heart disease and some other conditions who take high doses of vitamin E have a higher risk of death."
Vitamin E,Death,side_effect,"Taking higher doses of vitamin E might raise the risk of side effects. Also, people with heart disease and some other conditions who take high doses of vitamin E have a higher risk of death."
Vitamin E,Prostate Cancer,side_effect,"Vitamin E can affect many conditions. For instance, some research suggests that taking vitamin E by mouth may raise the risk of prostate cancer. Other research suggests that vitamin E use may raise the risk of death in people with a history of heart attack or stroke."
Vitamin E,Too Little Vitamin K,side_effect,Too little vitamin K.
Vitamin E,"An Eye Condition In Which The Retina Is Damaged, Called Retinitis Pigmentosa",side_effect,"An eye condition in which the retina is damaged, called retinitis pigmentosa."
Vitamin E,Bleeding Conditions,side_effect,Bleeding conditions.
Vitamin E,Diabetes,side_effect,Diabetes.
Vitamin E,A History Of Heart Attack Or Stroke,side_effect,A history of heart attack or stroke.
Vitamin E,Head And Neck Cancer,side_effect,Head and neck cancer.
Vitamin E,Liver Disease,side_effect,Liver disease.
Vitamin E,Bleeding,side_effect,"Vitamin E may raise the risk of bleeding. If you're having surgery, stop taking vitamin E two weeks before the surgery. Also, talk with your healthcare professional about vitamin E use if you're about to have or you just had a procedure to open blocked arteries and restore blood flow to the heart, called angioplasty."
Vitamin E,Angioplasty,side_effect,"Vitamin E may raise the risk of bleeding. If you're having surgery, stop taking vitamin E two weeks before the surgery. Also, talk with your healthcare professional about vitamin E use if you're about to have or you just had a procedure to open blocked arteries and restore blood flow to the heart, called angioplasty."
Vitamin E,Bleeding,interaction,"Anticoagulant and antiplatelet medicines, herbs, and supplements.Use of vitamin E with these medicines, herbs, and supplements that lessen blood clotting may raise the risk of bleeding."
Vitamin E,Omeprazole (Prilosec,interaction,"Cytochrome P450 3A4 substrates, also called CYP3A4 substrates.Use caution when taking vitamin E and other medicines affected by these enzymes, such as omeprazole (Prilosec, Zegerid OTC)."
Vitamin E,Cyp3A4 Substrates,interaction,"Cytochrome P450 3A4 substrates, also called CYP3A4 substrates.Use caution when taking vitamin E and other medicines affected by these enzymes, such as omeprazole (Prilosec, Zegerid OTC)."
Vitamin E,Statins And Niacin Could Keep Niacin From Working As It Should,interaction,"Statins and niacin.Taking vitamin E with cholesterol-lowering medicines called statins and niacin could keep niacin from working as it should. Niacin helps raise high-density lipoprotein, also called HDL, the ""good cholesterol."""
Zinc,Diarrhea,side_effect,Diarrhea.
Zinc,Dizziness,side_effect,Dizziness.
Zinc,Headache,side_effect,Headache.
Zinc,Nausea,side_effect,Nausea.
Zinc,Upset Stomach,side_effect,Upset stomach.
Zinc,Vomiting,side_effect,Vomiting.
Zinc,Copper Deficiency,side_effect,Taking zinc supplements by mouth long-term and in high doses can lead to copper deficiency. People with low copper levels might have brain and nervous system issues. Those issues may include numbness and weakness in the arms and legs.
Zinc,Intranasal Zinc,side_effect,"Don't use zinc that's placed in the nose, called intranasal zinc. This form of zinc has been linked to loss of the sense of smell."
