category_id,category
C00791,"Angiotensin II receptor blockers (ARBs), plain"
C00792,Angiotensin II Type 1 Receptor Blockers
C00793,Angiotensin II Type 2 Receptor Blockers
C00794,Angiotensin Receptor Antagonists
C00795,Antihypertensive Agents
C00796,Antihypertensive Agents Indicated for Hypertension
C00797,Cytochrome P-450 CYP2C9 Substrates
C00798,ACE Inhibitors and Calcium Channel Blockers
C00799,ACE Inhibitors and Diuretics
C00800,Angiotensin-Converting Enzyme Inhibitors
C00801,"Analgesics, Non-Narcotic"
C00802,Benzene Derivatives
C00803,Benzyl Compounds
C00804,Catechols
C00805,Cyclooxygenase Inhibitors
C00806,Lignans
C00807,Lipoxygenase Inhibitors
C00808,Phenols
C00809,Sensory System Agents
C00810,Adrenals
C00811,Corticosteroid Hormone Receptor Agonists
C00812,Corticosteroids
C00813,Corticosteroids for Systemic Use
C00814,Drugs for Obstructive Airway Diseases
C00815,Pregnadienes
C00816,Pregnanes
C00817,"Steroids, Fluorinated"
C00818,Aminobutyrates
C00819,Butyrates
C00820,GABA Agents
C00821,GABA Agonists
C00822,GABA-B Receptor Agonists
C00823,Gaba-derivative Skeletal Muscle Relaxants
C00824,gamma-Aminobutyric Acid-ergic Agonist
C00825,"Muscle Relaxants, Centrally Acting Agents"
C00826,Adrenergic Agents
C00827,Agents producing tachycardia
C00828,Amphetamines
C00829,Autonomic Agents
C00830,Biogenic Monoamines
C00831,Central Nervous System Stimulants
C00832,Central Nervous System Stimulation
C00833,Centrally Acting Sympathomimetics
C00834,Cytochrome P-450 CYP2A6 Inhibitors (weak)
C00835,Dopamine Agents
C00836,Dopamine Uptake Inhibitors
C00837,Phenethylamines
C00838,"Psychostimulants, Agents Used for ADHD and Nootropics"
C00839,Sympathomimetics
C00840,Gastrins
C00841,"Pentagastrin, antagonists & inhibitors"
C00842,Tests for Gastric Secretion
C00843,Alkaloids
C00844,Cholinergic Agonists
C00845,Cholinergic Nicotinic Agonist
C00846,Cytochrome P-450 CYP1A1 Substrates
C00847,Cytochrome P-450 CYP2A6 Substrates
C00848,Cytochrome P-450 CYP2B6 Substrates
C00849,Cytochrome P-450 CYP2C8 Substrates
C00850,Cytochrome P-450 CYP2E1 Inducers
C00851,Cytochrome P-450 CYP2E1 Inducers (strength unknown)
C00852,Drugs Used in Addictive Disorders
C00853,Drugs Used in Nicotine Dependence
C00854,Ganglionic Stimulants
C00855,Miscellaneous Autonomic Drugs
C00856,Monoamine Oxidase A Inhibitors  for interaction with Monoamine Oxidase A substrates
C00857,"Nicotine, antagonists & inhibitors"
C00858,Nicotinic Agonists
C00859,Smoking Cessation Agents
C00860,Solanaceous Alkaloids
C00861,Cholinergic Receptor Agonist
C00862,Muscarinic Agonists
C00863,Parasympathomimetics
C00864,Anticonvulsants
C00865,Antiemetics
C00866,Benzazepines
C00867,Benzodiazepine hypnotics and sedatives
C00868,Benzodiazepines and benzodiazepine derivatives
C00869,Benzodiazepinones
C00870,GABA Modulators
C00871,Hypnotics and Sedatives
C00872,Psycholeptics
C00873,Adrenergic Antagonists
C00874,Adrenergic beta-1 Receptor Antagonists
C00875,Adrenergic beta-Antagonists
C00876,Antiarrhythmic agents
C00877,"Beta Blocking Agents, Selective"
C00878,Beta-Blockers (Beta1 Selective)
C00879,Propanols
C00880,Boron Compounds
C00881,Boronic Acids
C00882,Cytochrome P-450 CYP1A2 Inhibitors (moderate)
C00883,Cytochrome P-450 CYP1A2 Substrates with a Narrow Therapeutic Index
C00884,Cytochrome P-450 CYP2C19 Substrates with a Narrow Therapeutic Index
C00885,Cytochrome P-450 CYP2C9 Substrates with a Narrow Therapeutic Index
C00886,Cytochrome P-450 CYP2D6 Substrates with a Narrow Therapeutic Index
C00887,Proteasome Inhibitors
C00888,Pyrazines
C00889,Chlorohydrins
C00890,Anti-Parkinson Drugs
C00891,Aromatic Amino Acid Decarboxylase Inhibitors
C00892,Aromatic L-amino Acid Decarboxylase Inhibitors
C00893,Catecholamines
C00894,Hydrazines
C00895,Anti-Obesity Agents
C00896,"Antiobesity Preparations, Excl. Diet Products"
C00897,Appetite Depressants
C00898,Appetite Suppression
C00899,Centrally Acting Antiobesity Products
C00900,Cytochrome P-450 CYP3A4 Substrates (strength unknown)
C00901,Increased Sympathetic Activity
C00902,Sympathomimetic Amine Anorectic
C00903,Anticholinergic Agents
C00904,Combined Inhibitors of Serotonin/Norepinephrine Reuptake
C00905,Cyclohexanols
C00906,Dimethylamines
C00907,Muscarinic Antagonists
C00908,Narcotics
C00909,NMDA Receptor Antagonists
C00910,Opiate Agonists
C00911,Opioid Agonist
C00912,Opioids
C00913,Serotonin 5-HT2 Receptor Antagonists
C00914,Serotonin 5-HT2C Receptor Antagonists
C00915,Serotonin Receptor Antagonists
C00916,UGT1A1 Substrates
C00917,Arabinonucleosides
C00918,Nucleosides and Nucleotides Excl. Reverse Transcriptase Inhibitors
C00919,Antiglaucoma Preparations and Miotics
C00920,Beta-adrenergic Agents
C00921,Phenoxypropanolamines
C00922,Propanolamines
C00923,Sympatholytics
C00924,14-alpha Demethylase Inhibitors
C00925,Antifungal Agents
C00926,Antifungals for Dermatological Use
C00927,Antifungals for Topical Use
C00928,Antimycotics for Systemic Use
C00929,Azole Antifungals
C00930,Cytochrome P-450 CYP2C9 Inhibitors (strong)
C00931,Cytochrome P-450 CYP3A5 Inhibitors (weak)
C00932,Imidazole and Triazole Derivatives
C00933,Steroid Synthesis Inhibitors
C00934,Triazole and tetrazole derivatives
C00935,Triazole Derivatives
C00936,Triazoles
C00937,Chromans
C00938,Cytochrome P-450 CYP2B6 Inducers
C00939,Cytochrome P-450 CYP2B6 Inducers (strength unknown)
C00940,Cytochrome P-450 CYP2C8 Inhibitors (moderate)
C00941,Oral Hypoglycemics
C00942,Thiazolidinediones
C00943,UGT1A3 substrates
C00944,UGT1A4 substrates
C00945,UGT1A6 Inhibitors
C00946,UGT1A6 substrate
C00947,UGT1A9 Substrates
C00948,UGT2B7 substrates
C00949,Acetamides
C00950,Amides
C00951,Neuraminidase Inhibitors
C00952,Antiinfectives for Treatment of Acne
C00953,Cytochrome P-450 CYP3A5 Inhibitors (moderate)
C00954,Cytochrome P-450 CYP3A7 Substrates
C00955,Erythromycin and similars
C00956,Erythromycins
C00957,Lactones
C00958,Macrolide Antimicrobial
C00959,Macrolides
C00960,"Macrolides, Lincosamides and Streptogramins"
C00961,Protein Synthesis Inhibitors
C00962,Anorexigenic Agents & Respiratory and CNS Stimulants
C00963,Caffeine and Caffeine Containing Products
C00964,Phosphodiesterase Inhibitors
C00965,Purinergic Agents
C00966,Purinergic Antagonists
C00967,Purinones
C00968,Respiratory and CNS Stimulants
C00969,Tricarboxylic Acids
C00970,Xanthine derivatives
C00971,Ammonium Compounds
C00972,Choline Derivatives
C00973,Cholinesterase substrates
C00974,Neuromuscular Depolarizing Agents
C00975,Neuromuscular Depolarizing Blockade
C00976,Nitrogen Compounds
C00977,Cytochrome P-450 CYP2C9 Inhibitors (weak)
C00978,Drugs Used in Erectile Dysfunction
C00979,Genitourinary Agents
C00980,Phosphodiesterase 5 Inhibitors
C00981,Piperazines
C00982,Sulfonamides
C00983,Sulfones
C00984,Urological Agents
C00985,Urologicals
C00986,Vasodilating Agents
C00987,"Antiarrhythmics, Class III"
C00988,Cardiac Therapy
C00989,Ethylamines
C00990,Highest Risk QTc-Prolonging Agents
C00991,OCT2 Substrates with a Narrow Therapeutic Index
C00992,Potassium Channel Blockers
C00993,Antibiotics for Pneumocystis Pneumonia
C00994,Antimalarial diaminopyrimidines
C00995,Antimalarials
C00996,Antiparasitic Agents
C00997,"Antiparasitic Products, Insecticides and Repellents"
C00998,Antiprotozoals
C00999,Cytochrome P-450 CYP2C8 Inhibitors (weak)
C01000,Folic Acid Antagonists
C01001,MATE 1 Inhibitors
C01002,MATE 2 Inhibitors
C01003,MATE inhibitors
C01004,Adrenergic Uptake Inhibitors
C01005,"Antiadrenergic Agents, Centrally Acting"
C01006,Antipsychotic Agents
C01007,Catecholamine-depleting Sympatholytic
C01008,Cytochrome P-450 CYP3A5 Inducers
C01009,Cytochrome P-450 CYP3A5 Inducers (strength unknown)
C01010,Decreased Sympathetic Activity
C01011,Indole Alkaloids
C01012,Indoles
C01013,Indolizidines
C01014,Indolizines
C01015,Organic Anion Transporting Polypeptide 2B1 Inhibitors
C01016,P-glycoprotein inducers
C01017,Secologanin Tryptamine Alkaloids
C01018,Polyketides
C01019,Cytochrome P-450 CYP2B6 Inhibitors (moderate)
C01020,Cytochrome P-450 CYP2B6 Inhibitors (strong)
C01021,Cytochrome P-450 CYP2C19 Inhibitors (moderate)
C01022,Purinergic P2 Receptor Antagonists
C01023,Purinergic P2Y Receptor Antagonists
C01024,Thienopyridines
C01025,"Acids, Carbocyclic"
C01026,Aza Compounds
C01027,Azabicyclo Compounds
C01028,Diphenylacetic Acids
C01029,Drugs for Functional Gastrointestinal Disorders
C01030,Drugs for Urinary Frequency and Incontinence
C01031,Parasympatholytics
C01032,Phenylacetates
C01033,Tropanes
C01034,Adrenergic Agonists
C01035,Adrenergic alpha-1 Receptor Agonists
C01036,Adrenergic alpha-Agonists
C01037,Adrenergic and Dopaminergic Agents
C01038,Cardiac Stimulants Excl. Cardiac Glycosides
C01039,Renin Inhibitors
C01040,2-Pyridinylmethylsulfinylbenzimidazoles
C01041,Acid Reducers
C01042,Anti-Ulcer Agents
C01043,Benzimidazoles
C01044,Drugs for Acid Related Disorders
C01045,Drugs for Peptic Ulcer and Gastro-Oesophageal Reflux Disease (Gord)
C01046,Gastric Acid Lowering Agents
C01047,Proton Pump Inhibitors
C01048,Proton-pump Inhibitors
C01049,Sulfoxides
C01050,Diuretics
C01051,High-Ceiling Diuretics
C01052,Increased Diuresis at Loop of Henle
C01053,Non Potassium Sparing Diuretics
C01054,Ototoxic agents
C01055,Sodium Potassium Chloride Symporter Inhibitors
C01056,Benzofurans
C01057,Cytochrome P-450 CYP1A2 Inhibitors (weak)
C01058,Cytochrome P-450 CYP3A4 Inhibitors (weak)
C01059,Monoamine Oxidase A Substrates
C01060,Nitriles
C01061,Propylamines
C01062,Antimigraine Preparations
C01063,Cytochrome P-450 CYP2A6 Inducers
C01064,Selective Serotonin 5-HT1 Receptor Agonists
C01065,Selective Serotonin Agonists
C01066,Serotonin 1b Receptor Agonists
C01067,Serotonin 1d Receptor Agonists
C01068,Serotonin 5-HT1 Receptor Agonists
C01069,Serotonin Receptor Agonists
C01070,Serotonin-1b and Serotonin-1d Receptor Agonist
C01071,Triptans
C01072,Adrenergic alpha-2 Receptor Agonists
C01073,"Antiadrenergic Agents, Peripherally Acting"
C01074,Guanidine Derivatives
C01075,4-Quinolones
C01076,Fluoroquinolone Antibacterial
C01077,Fluoroquinolones
C01078,Quinolines
C01079,Quinolone Antimicrobial
C01080,Quinolones
C01081,Topoisomerase II Inhibitors
C01082,Topoisomerase Inhibitors
C01083,Mydriatics
C01084,"Synthetic Anticholinergics, Quaternary Ammonium Compounds"
C01085,Cytochrome P-450 CYP2C19 Inducers
C01086,Cytochrome P-450 CYP2C19 Inducers (strength unknown)
C01087,Cytochrome P-450 CYP2C9 Inducers (strength unknown)
C01088,Cytochrome P-450 CYP3A4 Inhibitors (strong)
C01089,Cytochrome P-450 CYP3A5 Inhibitors (strong)
C01090,Cytochrome P-450 CYP3A7 Inhibitors (strong)
C01091,HIV Protease Inhibitors
C01092,Isoquinolines
C01093,UGT1A1 Inducers
C01094,Viral Protease Inhibitors
C01095,Adrenergic beta-2 Receptor Agonists
C01096,Adrenergic beta-Agonists
C01097,Adrenergics for Systemic Use
C01098,"Adrenergics, Inhalants"
C01099,Bronchodilator Agents
C01100,Selective Beta 2-adrenergic Agonists
C01101,Insulin Secretagogues
C01102,Sulfonylureas
C01103,"Corticosteroids, Dermatological Preparations"
C01104,"Corticosteroids, Potent (Group III)"
C01105,Pregnadienetriols
C01106,Cytochrome P-450 CYP3A7 Inhibitors (weak)
C01107,Contrast Media
C01108,Coordination Complexes
C01109,Diagnostic Uses of Chemicals
C01110,"Injections, Intravenous"
C01111,Magnetic Resonance Contrast Activity
C01112,Magnetic Resonance Imaging Contrast Media
C01113,Other Diagnostics
C01114,Paramagnetic Contrast Agent
C01115,Paramagnetic Contrast Media
C01116,Anesthetics
C01117,"Anesthetics, General"
C01118,"Anesthetics, Inhalation"
C01119,Ethers
C01120,Methyl Ethers
C01121,beta-Lactams
C01122,Cephalosporins
C01123,Lactams
C01124,Second-Generation Cephalosporins
C01125,Thiazines
C01126,Gabapentinoids
C01127,Miscellaneous Anticonvulsants
C01128,Benzothiadiazines
C01129,Increased Diuresis
C01130,Sodium Chloride Symporter Inhibitors
C01131,Thiazides
C01132,Aminobenzoates
C01133,Aminosalicylic Acid and Derivatives
C01134,Aminosalicylic Acids
C01135,Benzoates
C01136,Hydroxybenzoates
C01137,para-Aminobenzoates
C01138,Salicylates
C01139,Morpholines
C01140,Oxazines
C01141,Aminopyridines
C01142,Cardiotonic Agents
C01143,Phosphodiesterase 3 Inhibitors
C01144,Alkylating Drugs
C01145,"Antineoplastic Agents, Alkylating"
C01146,Barbiturates
C01147,Nicotinic Antagonists
C01148,Pyrimidinones
C01149,Antivirals used in combination for the treatment of HIV infections
C01150,Cytochrome P-450 CYP2B6 Inducers (strong)
C01151,Cytochrome P-450 CYP3A4 Inducers (weak)
C01152,Human Immunodeficiency Virus 1 Non-Nucleoside Analog Reverse Transcriptase Inhibitor
C01153,Inducers of Drug Clearance
C01154,Non-Nucleoside Reverse Transcriptase Inhibitors
C01155,Nonnucleoside Reverse Transcriptase Inhibitors
C01156,Nucleic Acid Synthesis Inhibitors
C01157,Reverse Transcriptase Inhibitors
C01158,Imidazole Derivatives
C01159,"Corticosteroids, Moderately Potent (Group II)"
C01160,2-Chloroadenosine
C01161,Deoxyadenosines
C01162,Deoxyribonucleosides
C01163,Purine Analogues
C01164,Purine Antimetabolite
C01165,Antianginal Agents
C01166,Miscellaneous Cardiac Drugs
C01167,Sodium Channel Blockers
C01168,Aminosalicylate
C01169,Intestinal Antiinflammatory Agents
C01170,Ethers of Tropine or Tropine Derivatives
C01171,Histamine Antagonists
C01172,Histamine H1 Antagonists
C01173,Histamine Receptor Antagonists
C01174,Adrenergic alpha-1 Receptor Antagonists
C01175,Adrenergic alpha-Antagonists
C01176,Antipsychotic Agents (Second Generation [Atypical])
C01177,Dopamine Antagonists
C01178,Dopamine D2 Receptor Antagonists
C01179,Indole Derivatives
C01180,Serotonin 5-HT1 Receptor Antagonists
C01181,Serotonin 5-HT1D Receptor Antagonists
C01182,Serotonin 5-HT2A Receptor Antagonists
C01183,Ergolines
C01184,Ergot Alkaloids and Derivatives
C01185,Lysergic Acid
C01186,Dopamine Agonists
C01187,Ergot-derivative Dopamine Receptor Agonists
C01188,Prolactine Inhibitors
C01189,Serotonin 5-HT2 Receptor Agonists
C01190,Deoxyuridine
C01191,Nucleoside Analog Antiviral
C01192,Pyrimidine Nucleosides
C01193,Cytochrome P-450 CYP2C18 Substrates
C01194,Drugs for Treatment of Lepra
C01195,Leprostatic Agents
C01196,Miscellaneous Antimycobacterials
C01197,Miscellaneous Local Anti-infectives
C01198,Antifungal Agents (Vaginal)
C01199,Anti-epileptic Agent
C01200,COMT Substrates
C01201,Cytochrome P-450 CYP2A6 Substrates with a Narrow Therapeutic Index
C01202,Cytochrome P-450 CYP2B6 Substrates with a Narrow Therapeutic Index
C01203,Cytochrome P-450 CYP2C18 Substrates with a Narrow Therapeutic Index
C01204,Cytochrome P-450 CYP2C19 Inducers (moderate)
C01205,Cytochrome P-450 CYP2C8 Inducers
C01206,Cytochrome P-450 CYP2C8 Inducers (strong)
C01207,Cytochrome P-450 CYP2C8 Substrates with a Narrow Therapeutic Index
C01208,Cytochrome P-450 CYP2E1 Substrates with a Narrow Therapeutic Index
C01209,Cytochrome P-450 CYP3A Inducers (strong)
C01210,Cytochrome P-450 CYP3A4 Inducers (strong)
C01211,Cytochrome P-450 CYP3A7 Inducers
C01212,Cytochrome P-450 CYP3A7 Inducers (weak)
C01213,Cytochrome P-450 CYP3A7 Substrates with a Narrow Therapeutic Index
C01214,Decreased Central Nervous System Disorganized Electrical Activity
C01215,Enzyme Inducing Antiepileptic Drugs
C01216,Hydantoins
C01217,Imidazolidines
C01218,Phenytoin and Prodrugs
C01219,Thyroxine-binding globulin substrates
C01220,UGT1A1 Substrates with a Narrow Therapeutic Index
C01221,UGT1A6 Substrates with a Narrow Therapeutic Index
C01222,UGT1A9 Inhibitors
C01223,UGT1A9 Substrates with a Narrow Therapeutic Index
C01224,Voltage-Gated Sodium Channel Blockers
C01225,Glucocorticoids
C01226,Pregnenes
C01227,Antiinfectives and Antiseptics for Local Oral Treatment
C01228,Naphthacenes
C01229,Tetracyclines
C01230,Benzylidene Compounds
C01231,Carcinogens
C01232,"Contraceptive Agents, Female"
C01233,"Contraceptive Agents, Male"
C01234,"Contraceptives, Postcoital"
C01235,Cytochrome P-450 CYP2E1 Inhibitors (strong)
C01236,Estrogen Contraceptives
C01237,Estrogens
C01238,"Estrogens, Non-Steroidal"
C01239,Hormonal Contraceptives for Systemic Use
C01240,Stilbenes
C01241,Stilbestrols
C01242,"Synthetic Estrogens, Plain"
C01243,Thyroxine-binding globulin inducers
C01244,Cytochrome P-450 CYP2A6 Inhibitors (strong)
C01245,Cytochrome P-450 CYP2C8 Inhibitors (strong)
C01246,Cytochrome P-450 CYP2E1 Inhibitors (moderate)
C01247,Cytochrome P-450 CYP3A7 Inducers (strong)
C01248,OATP1B3 inducers
C01249,Arylsulfonates
C01250,Arylsulfonic Acids
C01251,Calcium Salts
C01252,Chelating Agents
C01253,Drugs for Treatment of Hyperkalemia and Hyperphosphatemia
C01254,Minerals
C01255,Phosphate Binder
C01256,Phosphate-removing Agents
C01257,Sequestering Agents
C01258,Sulfonic Acids
C01259,Sulfur Acids
C01260,Aniline Compounds
C01261,Benzenesulfonamides
C01262,Short-Acting Antibacterial Sulfonamides
C01263,Sulfanilamides
C01264,Sulfonamide Antibacterial
C01265,Sulfonamides and trimethoprim
C01266,"Anti-Infective Agents, Urinary"
C01267,"Antibiotics, Antitubercular"
C01268,Isoxazoles
C01269,Oxazoles
C01270,Oxazolidinones
C01271,Decreased Platelet Production
C01272,Platelet-reducing Agents
C01273,Thrombocytosis
C01274,Alkylating Activity
C01275,Nitroso Compounds
C01276,Nitrosourea Compounds
C01277,Nitrosoureas
C01278,Beta blocking agents and calcium channel blockers
C01279,Beta Blocking Agents and Thiazides
C01280,"Beta Blocking Agents, Selective, and Thiazides"
C01281,Agrochemicals
C01282,Antipruritics
C01283,Pesticides
C01284,Scabicides and Pediculicides
C01285,4-Hydroxycoumarins
C01286,Coumarins
C01287,Uncoupling Agents
C01288,Vitamin K Antagonists
C01289,Otologicals
C01290,Third-Generation Cephalosporins
C01291,Anti-Parkinson Agents (Dopamine Agonist)
C01292,Nonergot-derivative Dopamine Receptor Agonists
C01293,"Natural and Semisynthetic Estrogens, Plain"
C01294,Calcium Channel Blockers
C01295,Calcium Channel Blockers (Dihydropyridine)
C01296,Dihydropyridine Derivatives
C01297,Dihydropyridines
C01298,Selective Calcium Channel Blockers With Mainly Vascular Effects
C01299,Iodinated Contrast Agents
C01300,Iodobenzoates
C01301,Radiographic Contrast Agent
C01302,Roentgenography
C01303,Sugar Alcohols
C01304,Triiodobenzoic Acids
C01305,"Watersoluble, Nephrotropic, High Osmolar X-Ray Contrast Media"
C01306,X-Ray Contrast Activity
C01307,"X-Ray Contrast Media, Iodinated"
C01308,Histamine Agents
C01309,Histamine Agonists
C01310,Pyrazoles
C01311,Hexoses
C01312,Ketoses
C01313,Monosaccharides
C01314,Neuroprotective Agents
C01315,Cephamycins
C01316,Tetrazoles
C01317,Acridines
C01318,Aminoacridines
C01319,Intercalating Agents
C01320,Purinergic P1 Receptor Antagonists
C01321,Respiratory Smooth Muscle Relaxants
C01322,Xanthines and Adrenergics
C01323,Piperidines
C01324,l-Triiodothyronine
C01325,Thyronines
C01326,Triiodothyronine
C01327,"Antiarrhythmics, Class I"
C01328,"Antiarrhythmics, Class Ia"
C01329,Negative Inotrope
C01330,Agents for Treatment of Hemorrhoids and Anal Fissures for Topical Use
C01331,Analgesics and Anesthetics
C01332,Anesthetics for Topical Use
C01333,"Anesthetics, Local"
C01334,Anilides
C01335,"Antiarrhythmics, Class Ib"
C01336,Antipruritics and Local Anesthetics
C01337,"Antipruritics, Incl. Antihistamines, Anesthetics, Etc."
C01338,Local Anesthesia
C01339,Local Anesthetics (Amide)
C01340,Neuraxial Anesthetics
C01341,Vasoprotectives
C01342,Bisphosphonates
C01343,Organophosphonates
C01344,Organophosphorus Compounds
C01345,Aminoalkyl Ethers
C01346,Antihistamines for Systemic Use
C01347,Antihistamines for Topical Use
C01348,Pyrrolidines
C01349,Glycoside Hydrolase Inhibitors
C01350,Trisaccharides
C01351,BCRP/ABCG2 Inducers
C01352,Hexanols
C01353,Norepinephrine Uptake Inhibitors
C01354,Serotonin and Noradrenaline Reuptake Inhibitors
C01355,Estradiol Congeners
C01356,"Estrogens, Conjugated (USP)"
C01357,Gonadal Hormones
C01358,Gonadal Steroid Hormones
C01359,Inflammation Mediators
C01360,Ophthalmics
C01361,Prostaglandin analogs reducing intraocular pressure (IOP)
C01362,Prostaglandins
C01363,"Prostaglandins F, Synthetic"
C01364,"Prostaglandins, Synthetic"
C01365,Miscellaneous Central Nervous System Agents
C01366,Norepinephrine Reuptake Inhibitor
C01367,"Antibiotics, Antineoplastic"
C01368,Cytoprotective Agent
C01369,Cytotoxic Antibiotics and Related Substances
C01370,Glycopeptides
C01371,"Hydrocarbons, Halogenated"
C01372,Mustard Compounds
C01373,Nitrogen Mustard Analogues
C01374,Nitrogen Mustard Compounds
C01375,"Anesthetics, Intravenous"
C01376,Folic Acid Analogues
C01377,"Thymidylate Synthase, antagonists & inhibitors"
C01378,Combination Contraceptives (with Estrogen and derivatives)
C01379,"Contraceptive Agents, Hormonal"
C01380,Intravaginal Contraceptives
C01381,Norpregnanes
C01382,Norpregnenes
C01383,Norsteroids
C01384,Progesterone Congeners
C01385,Progestins
C01386,High-risk opioids
C01387,Natural Opium Alkaloids
C01388,Opiate Alkaloids
C01389,Phenanthrenes
C01390,Herpesvirus Nucleoside Analog DNA Polymerase Inhibitor
C01391,Hepatitis B Virus Nucleoside Analog Reverse Transcriptase Inhibitor
C01392,Human Immunodeficiency Virus Nucleoside Analog Reverse Transcriptase Inhibitor
C01393,Nucleoside and Nucleotide Reverse Transcriptase Inhibitors
C01394,Tenofovir and prodrugs
C01395,Beta-Lactam Antibacterials
C01396,Beta-Lactamase Resistant Penicillins
C01397,Penicillins
C01398,Cyclohexanecarboxylic Acids
C01399,Decreased Fibrinolysis
C01400,Carbapenems
C01401,Penem Antibacterial
C01402,"Contraceptives, Oral"
C01403,"Contraceptives, Oral, Hormonal"
C01404,"Contraceptives, Oral, Synthetic"
C01405,Progestin Contraceptives
C01406,"Progestogens and Estrogens, Sequential Preparations"
C01407,Azirines
C01408,Cross-Linking Reagents
C01409,Indolequinones
C01410,Mitomycins
C01411,"Barbiturates, Plain"
C01412,Cytochrome P-450 CYP3A4 Inducers (moderate)
C01413,Retinoids for cancer treatment
C01414,Tetrahydronaphthalenes
C01415,Antimitotic Agents
C01416,"Antineoplastic Agents, Phytogenic"
C01417,Mitosis Modulators
C01418,Tubulin Modulators
C01419,Vinca Alkaloids
C01420,Benzophenones
C01421,Imides
C01422,Isoindoles
C01423,Ketones
C01424,Low-Ceiling Diuretics and Potassium-Sparing Agents
C01425,"Low-Ceiling Diuretics, Excl. Thiazides"
C01426,Phthalimides
C01427,Thiazide-like Diuretic
C01428,Benzothiazoles
C01429,Carbonic Anhydrase Inhibitors
C01430,"Adjuvants, Anesthesia"
C01431,Cytochrome P-450 CYP2A6 Inducers (strong)
C01432,Antimanic Agents
C01433,Fatty Acid Derivatives
C01434,Histone Deacetylase Inhibitors
C01435,Mood Stabilizer
C01436,OAT3/SLC22A8 Substrates with a Narrow Therapeutic Index
C01437,Pentanoic Acids
C01438,UGT1A3 Substrates with a Narrow Therapeutic Index
C01439,UGT2B7 Substrates with a Narrow Therapeutic Index
C01440,Valerates
C01441,Aminoglycoside Antibacterials
C01442,Drugs that are Mainly Renally Excreted with a Narrow Therapeutic Index
C01443,Acetaminophen and Prodrugs
C01444,Antipyretics
C01445,Miscellaneous Analgesics and Antipyretics
C01446,Epidermal growth factor receptor (EGFR) tyrosine kinase inhibitors
C01447,Kinase Inhibitor
C01448,Protein Kinase Inhibitors
C01449,Quinazolines
C01450,Tyrosine Kinase Inhibitors
C01451,Antitussive Agents
C01452,Morphinans
C01453,Morphine Derivatives
C01454,Opium Alkaloids and Derivatives
C01455,Extended-spectrum Penicillins
C01456,Penicillin G
C01457,Penicillins With Extended Spectrum
C01458,Ergotamine Derivative
C01459,Ergotamines
C01460,Sympatholytic (Adrenergic Blocking) Agents
C01461,"Antidepressive Agents, Tricyclic"
C01462,Non-Selective Monoamine Reuptake Inhibitors
C01463,Tertiary amine tricyclic antidepressants
C01464,Tricyclics and Other Norepinephrine-reuptake Inhibitors
C01465,Pyrimidine Analogues
C01466,COMT Inhibitors
C01467,Nitro Compounds
C01468,Nitrophenols
C01469,Pregnadienediols
C01470,"Arteriolar Smooth Muscle, Agents Acting On"
C01471,Cyanides
C01472,Direct Vasodilators
C01473,Ferric Compounds
C01474,Ferricyanides
C01475,Iron Compounds
C01476,Nitrates and Nitrites
C01477,Nitric Oxide Donors
C01478,Nitroferricyanide Derivatives
C01479,Vasodilation
C01480,Mineral Supplements
C01481,Semi-synthetic Opioids
C01482,Acetic Acid Derivatives and Related Substances
C01483,Antiinflammatory and Antirheumatic Products
C01484,"Antiinflammatory and Antirheumatic Products, Non-Steroids"
C01485,"Antiinflammatory Preparations, Non-Steroids for Topical Use"
C01486,Other Nonsteroidal Anti-inflammatory Agents
C01487,Tocolytic Agents
C01488,Topical Products for Joint and Muscular Pain
C01489,UGT2B7 Inhibitors
C01490,Diamines
C01491,Ethylenediamines
C01492,Biguanides
C01493,MATE 1 Substrates
C01494,MATE 2 Substrates
C01495,MATE substrates
C01496,Antimuscarinics Antispasmodics
C01497,Atropine Derivatives
C01498,Belladonna Alkaloids
C01499,Diphenylpropylamine Derivatives
C01500,Drugs Used in Opioid Dependence
C01501,"Diazepines, Oxazepines, Thiazepines and Oxepines"
C01502,Histamine H2 Antagonists
C01503,QTc shortening agents
C01504,Agents Against Leishmaniasis and Trypanosomiasis
C01505,Antiseptics and Disinfectants
C01506,Furans
C01507,Medicated Dressings
C01508,Medicated Dressings With Antiinfectives
C01509,Nitrofuran Derivatives
C01510,Nitrofurans
C01511,"Agents for Dermatitis, Excluding Corticosteroids"
C01512,mTOR Inhibitors
C01513,"Peptidylprolyl Isomerase, antagonists & inhibitors"
C01514,Tertiary Amines
C01515,Xanthenes
C01516,Decongestants and Antiallergics
C01517,"Histamine H1 Antagonists, Non-Sedating"
C01518,Piperazine Derivatives
C01519,Benzhydryl Compounds
C01520,Benzothiazepine Derivatives
C01521,Calcium Channel Blockers (Nondihydropyridine)
C01522,Miscellaneous Calcium-channel Blocking Agents
C01523,Selective Calcium Channel Blockers With Direct Cardiac Effects
C01524,Benzocycloheptenes
C01525,Dibenzocycloheptenes
C01526,Aminohippuric Acids
C01527,Benzamides and benzamide derivatives
C01528,Hippurates
C01529,Tests for Renal Function and Ureteral Injuries
C01530,Drugs Used in Benign Prostatic Hypertrophy
C01531,Peripheral alpha-1 blockers
C01532,Prostatic Hyperplasia
C01533,Selective Alfa-1-adrenergic Blocking Agents
C01534,Oxazolidine Derivatives
