synonym_id,synonym
SYN08279,Heparina
SYN08280,Heparine
SYN08281,Heparinic acid
SYN08282,Heparinum
SYN08283,Unfractionated heparin
SYN08284,"1-(2,4-Dichloro-beta-((2,4-dichlorobenzyl)oxy)phenethyl)imidazole"
SYN08285,"1-[2-(2,4-Dichloro-benzyloxy)-2-(2,4-dichloro-phenyl)-ethyl]-1H-imidazole"
SYN08286,Miconazol
SYN08287,Miconazole
SYN08288,Miconazolum
SYN08289,Colistimethate
SYN08290,Colistin methanesulfonic acid
SYN08291,Colistin sulfomethate
SYN08292,Colistinmethanesulfonic acid
SYN08293,"(6R,7R)-3-[(carbamoyloxy)methyl]-7-{[(2Z)-2-furan-2-yl-2-(methoxyimino)acetyl]amino}-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid"
SYN08294,Cefuroxim
SYN08295,Cefuroxima
SYN08296,Cefuroxime
SYN08297,Cefuroximo
SYN08298,Cefuroximum
SYN08299,Cephuroxime
SYN08300,Papavarine
SYN08301,Papaverina
SYN08302,Papaverine
SYN08303,1-(p-chlorophenyl)-1-(2-pyridyl)-3-dimethylaminopropane
SYN08304,"1-(p-chlorophenyl)-1-(2-pyridyl)-3-N,N-dimethylpropylamine"
SYN08305,2-[p-chloro-α-[2-(dimethylamino)ethyl]benzyl]pyridine
SYN08306,"3-(p-chlorophenyl)-3-(2-pyridyl)-N,N-dimethylpropylamine"
SYN08307,Chlorophenylpyridamine
SYN08308,Chlorphenamin
SYN08309,Chlorphenamine
SYN08310,Chlorphenaminum
SYN08311,Chlorpheniramine
SYN08312,Chlorpheniramine polistirex
SYN08313,Chlorpheniraminum
SYN08314,Clorfenamina
SYN08315,Clorfeniramina
SYN08316,"γ-(4-chlorophenyl)-N,N-dimethyl-2-pyridinepropanamine"
SYN08317,γ-(4-chlorophenyl)-γ-(2-pyridyl)propyldimethylamine
SYN08318,"4-(2'-Nitrophenyl)-2,6-dimethyl-1,4-dihydropyridin-3,5-dicarbonsäuredimethylester"
SYN08319,Nifedipine
SYN08320,Nifedipino
SYN08321,Nifedipinum
SYN08322,Thimethaphan
SYN08323,Trimetaphan
SYN08324,Trimetaphanum
SYN08325,Trimethaphan
SYN08326,"2-(trans-4-(p-Chlorophenyl)cyclohexyl)-3-hydroxy-1,4-naphthoquinone"
SYN08327,Atovacuona
SYN08328,Atovaquone
SYN08329,"2-Butyl-3-(3,5-diiodo-4-(2-diethylaminoethoxy)benzoyl)benzofuran"
SYN08330,"2-Butyl-3-benzofuranyl 4-(2-(diethylamino)ethoxy)-3,5-diiodophenyl ketone"
SYN08331,"2-n-Butyl-3',5'-diiodo-4'-N-diethylaminoethoxy-3-benzoylbenzofuran"
SYN08332,Amiodarona
SYN08333,Amiodarone
SYN08334,Amiodaronum
SYN08335,"7-chloro-3-methyl-2H-1,2,4-benzothiadiazine 1,1-dioxide"
SYN08336,Diazossido
SYN08337,Diazoxide
SYN08338,Diazoxido
SYN08339,Diazoxidum
SYN08340,1-(3-azabicyclo(3.3.0)oct-3-yl)-3-(p-tolylsulfonyl)urea
SYN08341,1-(hexahydrocyclopenta(c)pyrrol-2(1H)-yl)-3-(p-tolylsulfonyl)urea
SYN08342,Gliclazida
SYN08343,Gliclazide
SYN08344,Gliclazidum
SYN08345,Phenacemide
SYN08346,Ambenonium
SYN08347,Ambenonium base
SYN08348,Ambenonum
SYN08349,"2,8-Diaminoacridine"
SYN08350,"3,6-acridinediamine"
SYN08351,"3,6-diaminoacridine"
SYN08352,Diaminoacridine
SYN08353,Proflavin
SYN08354,Proflavina
SYN08355,Proflavine
SYN08356,Proflavinum
SYN08357,1-Butyl-3-(p-methylphenylsulfonyl)urea
SYN08358,1-Butyl-3-(p-tolylsulfonyl)urea
SYN08359,1-Butyl-3-tosylurea
SYN08360,1-p-Toluenesulfonyl-3-butylurea
SYN08361,3-(p-Tolyl-4-sulfonyl)-1-butylurea
SYN08362,N-(4-Methylbenzenesulfonyl)-N'-butylurea
SYN08363,N-(4-Methylphenylsulfonyl)-N'-butylurea
SYN08364,N-(p-Methylbenzenesulfonyl)-N'-butylurea
SYN08365,N-(Sulfonyl-p-methylbenzene)-N'-N-butylurea
SYN08366,N-Butyl-N'-(4-methylphenylsulfonyl)urea
SYN08367,N-Butyl-N'-(p-tolylsulfonyl)urea
SYN08368,N-Butyl-N'-p-toluenesulfonylurea
SYN08369,N-n-Butyl-N'-tosylurea
SYN08370,Tolbutamida
SYN08371,Tolbutamide
SYN08372,Tolbutamidum
SYN08373,Tolylsulfonylbutylurea
SYN08374,"2-(4-Methoxyphenyl)-1H-indene-1,3(2H)-dione"
SYN08375,"2-(4-Methoxyphenyl)indan-1,3-dione"
SYN08376,"2-(p-Methoxyphenyl)-1,3-indandione"
SYN08377,"2-(p-Methoxyphenyl)indane-1,3-dione"
SYN08378,"2-p-Anisyl-1,3-indandione"
SYN08379,"2-para-Anisyl-1,3-indandione"
SYN08380,Anisin indandione
SYN08381,Anisindiona
SYN08382,Anisindione
SYN08383,Anisindionum
SYN08384,"(5α,17β)-N-(2,5-bis(trifluoromethyl)phenyl)-3-oxo-4-azaandrost-1-ene-17-carboxamide"
SYN08385,Duastride
SYN08386,Dutasterida
SYN08387,Dutasteride
SYN08388,"α,α,α,α',α',α'-hexafluoro-3-oxo-4-aza-5α-androst-1-ene-17β-carboxy-2',5'-xylidide"
SYN08389,(+-)-Econazole
SYN08390,Econazol
SYN08391,Econazole
SYN08392,Bicalutamida
SYN08393,Bicalutamide
SYN08394,Bicalutamidum
SYN08395,Rabeprazole
SYN08396,Prednicarbate
SYN08397,Prednicarbato
SYN08398,1-(p-Chlorophenyl)-5-isopropylbiguanide
SYN08399,Chlorguanide
SYN08400,Chloroguanide
SYN08401,Proguanil
SYN08402,Proguanile
SYN08403,Proguanilo
SYN08404,Proguanilum
SYN08405,"(±)-5-((4-(2-(5-ethyl-2-pyridinyl)ethoxy)phenyl)methyl)-2,4-thiazolidinedione"
SYN08406,"5-{4-[2-(5-ethylpyridin-2-yl)ethoxy]benzyl}-1,3-thiazolidine-2,4-dione"
SYN08407,Pioglitazona
SYN08408,Pioglitazone
SYN08409,Pioglitazonum
SYN08410,Acide tiludronique
SYN08411,Acido tiludronico
SYN08412,Acidum tiludronicum
SYN08413,Tiludronate
SYN08414,Tiludronic acid
SYN08415,11-deoxycorticosterone pivalate
SYN08416,Deoxycorticosterone pivalate
SYN08417,Deoxycorticosterone trimethylacetate
SYN08418,Deoxycortone pivalate
SYN08419,Deoxycortone trimethylacetate
SYN08420,Desoxycorticosterone pivalate
SYN08421,Desoxycorticosterone trimethylacetate
SYN08422,Desoxycortone pivalate
SYN08423,DOCP
SYN08424,DTMA
SYN08425,Doxacurium
SYN08426,(+-)-1-(Carbazol-4-yloxy)-3-((2-(o-methoxyphenoxy)ethyl)amino)-2-propanol
SYN08427,Carvédilol
SYN08428,Carvedilol
SYN08429,Carvedilolum
SYN08430,(-)-Ofloxacin
SYN08431,"(3S)-(-)-9-fluoro-3-methyl-10-(4-methyl-1-piperazinyl)-7-oxo-2,3-dihydro-7H-pyrido[1,2,3-de][1,4]benzoxazine-6-carboxylic acid"
SYN08432,"(S)-(-)-9-fluoro-3-methyl-10-(4-methyl-1-piperazinyl)-7-oxo-2,3-dihydro-7H-pyrido[1,2,3-de][1,4]benzooxazine-6-carboxylic acid"
SYN08433,"(S)-9-Fluoro-2,3-dihydro-3-methyl-10-(4-methyl-1-piperazinyl)-7-oxo-7H-pyrido(1,2,3-de)-1,4-benzoxazine-6-carboxylic acid"
SYN08434,(S)-Ofloxacin
SYN08435,L-Ofloxacin
SYN08436,Levofloxacin
SYN08437,Levofloxacin anhydrous
SYN08438,Levofloxacine
SYN08439,Levofloxacino
SYN08440,Levofloxacinum
SYN08441,Ofloxacin S-(-)-form
SYN08442,"1,2-Diphenyl-3,5-dioxo-4-(2-phenylsulfinylethyl)pyrazolidine"
SYN08443,"1,2-Diphenyl-4-(2'-phenylsulfinethyl)-3,5-pyrazolidinedione"
SYN08444,"4-(2-Benzenesulfinylethyl)-1,2-diphenylpyrazolidine-3,5-dione"
SYN08445,Sulfinpyrazone
SYN08446,Sulfoxyphenylpyrazolidine
SYN08447,Sulphinpyrazone
SYN08448,"(6R,7R)-3-(acetoxymethyl)-8-oxo-7-{[(pyridin-4-ylsulfanyl)acetyl]amino}-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid"
SYN08449,Cefapirin
SYN08450,Cefapirina
SYN08451,Cefapirine
SYN08452,Cefapirinum
SYN08453,Cefaprin
SYN08454,Cephapirin
SYN08455,Cephapirine
SYN08456,CEPR
SYN08457,CDX
SYN08458,Cefadroxil
SYN08459,Cefadroxil anhydrous
SYN08460,Cefadroxilo
SYN08461,Cefadroxilum
SYN08462,Cephadroxil
SYN08463,D-Cefadroxil
SYN08464,Micafungin
SYN08465,Micafungina
SYN08466,Doxepin
SYN08467,Doxepina
SYN08468,Doxepinum
SYN08469,Amifostina
SYN08470,Amifostine
SYN08471,Amifostine anhydrous
SYN08472,Amifostinum
SYN08473,Aminopropylaminoethyl thiophosphate
SYN08474,Ethiofos
SYN08475,"1,3-disulfamoyl-4,5-dichlorobenzene"
SYN08476,"1,3-disulfamyl-4,5-dichlorobenzene"
SYN08477,"3,4-dichloro-5-sulfamylbenzenesulfonamide"
SYN08478,"4,5-dichloro-1,3-benzenedisulfonamide"
SYN08479,"4,5-dichloro-1,3-disulfamoylbenzene"
SYN08480,"4,5-dichloro-benzene-1,3-disulfonic acid diamide"
SYN08481,"4,5-dichloro-m-benzenedisulfonamide"
SYN08482,"4,5-dichlorobenzene-1,3-disulfonamide"
SYN08483,Dichlofenamide
SYN08484,Dichlorophenamide
SYN08485,Dichlorphenamide
SYN08486,Diclofenamida
SYN08487,Diclofenamide
SYN08488,Diclofenamidum
SYN08489,Aldesulfone
SYN08490,Aldesulphone
SYN08491,Sulfoxone
SYN08492,1-methyl-4-hydroxypiperidine benzhydryl ether
SYN08493,1-methyl-4-piperidyl benzhydryl ether
SYN08494,4-(benzhydryloxy)-1-methylpiperidine
SYN08495,4-(benzhydryloxy)-N-methylpiperidine
SYN08496,Difenilpiralina
SYN08497,Diphenylpyralamine
SYN08498,Diphenylpyraline
SYN08499,Diphenylpyralinum
SYN08500,"(2S,5R,6R)-6-({[3-(2-chlorophenyl)-5-methylisoxazol-4-yl]carbonyl}amino)-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid"
SYN08501,(3-(o-chlorophenyl)-5-methyl-4-isoxazolyl)penicillin
SYN08502,6-(3-(o-chlorophenyl)-5-methyl-4-isoxazolecarboxamido)penicillanic acid
SYN08503,Cloxacilina
SYN08504,Cloxacillin
SYN08505,Cloxacilline
SYN08506,Cloxacillinum
SYN08507,2-(1-piperidinyl)ethyl 3-methyl-4-oxo-2-phenyl-4H-chromene-8-carboxylate
SYN08508,2-piperidinoethyl 3-methyl-4-oxo-2-phenyl-4H-1-benzopyran-8-carboxylate
SYN08509,2-piperidinoethyl 3-methylflavone-8-carboxylate
SYN08510,Flavoxate
SYN08511,Flavoxato
SYN08512,Flavoxatum
SYN08513,β-piperidinoethyl 3-methylflavone-8-carboxylate
SYN08514,"1-(3-(4-(m-Chlorophenyl)-1-piperazinyl)propyl)-3-ethyl-4-(2-phenoxyethyl)-delta2-1,2,4-triazolin-5-one"
SYN08515,Nefazodona
SYN08516,Nefazodone
SYN08517,Nefazodonum
SYN08518,Cefprozil
SYN08519,Cefprozil anhydrous
SYN08520,Cefprozilo
SYN08521,Cefprozilum
SYN08522,5-(gamma-methylaminopropyl)iminodibenzyl
SYN08523,5-(γ-methylaminopropyl)iminodibenzyl
SYN08524,Déméthylimipramine
SYN08525,Desipramin
SYN08526,Desipramina
SYN08527,Desipramine
SYN08528,Désipramine
SYN08529,Desipraminum
SYN08530,Desmethylimipramine
SYN08531,DMI
SYN08532,Monodemethylimipramine
SYN08533,N-(3-methylaminopropyl)iminobibenzyl
SYN08534,Norimipramine
SYN08535,Candicidin
SYN08536,Candicidina
SYN08537,Candicidine
SYN08538,Candicidinum
SYN08539,Candizidin
SYN08540,Levorin
SYN08541,Levorina
SYN08542,Levorine
SYN08543,Levorinum
SYN08544,Sertaconazol
SYN08545,Sertaconazole
SYN08546,Sertaconazolum
SYN08547,5-Allyl-5-(1-methylbutyl)-2-thiobarbituric acid
SYN08548,"5-allyl-5-(1-methylbutyl)-2-thioxodihydro-4,6(1H,5H)-pyrimidinedione"
SYN08549,"5-allyl-5-(1-methylbutyl)-2-thioxodihydropyrimidine-4,6(1H,5H)-dione"
SYN08550,"dihydro-5-(1-methylbutyl)-5-(2-propenyl)-2-thioxo-4,6(1H,5H)-pyrimidinedione"
SYN08551,Thiamylal
SYN08552,Gemifloxacin
SYN08553,Amfebutamone
SYN08554,Bupropion
SYN08555,Trimetrexate
SYN08556,Trimetrexato
SYN08557,Trimetrexatum
SYN08558,(2-bromobenzyl)ethyldimethylaminium
SYN08559,"2-bromo-N-ethyl-N,N-dimethylbenzenemethanaminium"
SYN08560,Bretylium
SYN08561,"N-ethyl-N,N-dimethyl-2-bromobenzenemethanaminium"
SYN08562,"1-bromo-1-chloro-2,2,2-trifluoroethane"
SYN08563,"1,1,1-trifluoro-2-bromo-2-chloroethane"
SYN08564,"1,1,1-trifluoro-2-chloro-2-bromoethane"
SYN08565,"2-bromo-2-chloro-1,1,1-trifluoroethane"
SYN08566,"2,2,2-trifluoro-1-chloro-1-bromoethane"
SYN08567,Alotano
SYN08568,Bromochlorotrifluoroethane
SYN08569,Halotano
SYN08570,Halothane
SYN08571,Halothanum
SYN08572,Dinoprost trometamol
SYN08573,Dinoprost tromethamine
SYN08574,PGF2-alpha THAM
SYN08575,PGF2A THAM
SYN08576,PGF2alpha THAM
SYN08577,Prostaglandin F2-alpha THAM
SYN08578,Prostaglandin F2a tromethamine
SYN08579,Prostaglandin F2alpha tham
SYN08580,Prostin F2 Alpha
SYN08581,2-(Diethylamino)ethyl 4-amino-2-chlorobenzoate
SYN08582,2-chloroprocaine
SYN08583,4-amino-2-chlorobenzoic acid 2-(diethylamino)ethyl ester
SYN08584,Chloroprocain
SYN08585,Chloroprocaine
SYN08586,Chloroprocainum
SYN08587,Chlorprocaine
SYN08588,Cloroprocaina
SYN08589,"1-(4-Amino-6,7-dimethoxy-2-quinazolinyl)-4-((tetrahydro-2-furanyl)carbonyl)piperazine"
SYN08590,Terazosin
SYN08591,Terazosina
SYN08592,Terazosine
SYN08593,Térazosine
SYN08594,Terazosinum
SYN08595,Amdinocillin
SYN08596,Mecilinamo
SYN08597,Mecillinam
SYN08598,Mecillinamum
SYN08599,Penicillin HX
SYN08600,Calcio cloruro
SYN08601,Calcium chloride anhydrous
SYN08602,"Calcium chloride, anhydrous"
SYN08603,calcium(2+) chloride
SYN08604,"8-Fluoro-3-methyl-9-(4-methyl-piperazin-1-yl)-6-oxo-2,3-dihydro-6H-1-oxa-3a-aza-phenalene-5-carboxylic acid"
SYN08605,Ofloxacin
SYN08606,Ofloxacine
SYN08607,Ofloxacino
SYN08608,Ofloxacinum
SYN08609,OFLX
SYN08610,"3,4-dihydro-6-(4-(1-cyclohexyl-1H-tetrazol-5-yl)butoxy)-2(1H)-quinolinone"
SYN08611,"6-(4-(1-cyclohexyl-1H-tetrazol-5-yl)butoxy)-3,4-dihydro-2(1H)-quinolinone"
SYN08612,"6-(4-(1-cyclohexyl-1H-tetrazol-5-yl)butoxy)-3,4-dihydrocarbostyril"
SYN08613,"6-[4-(1-Cyclohexyl-1H-tetrazol-5-yl)-butoxy]-3,4-dihydro-1H-quinolin-2-one"
SYN08614,Cilostazol
SYN08615,Cilostazole
SYN08616,Cilostazolum
SYN08617,"(±)-1-SEC-BUTYL-4-(P-(4-(P-(((2R*,4S*)-2-(2,4-DICHLOROPHENYL)-2-(1H-1,2,4-TRIAZOL-1-YLMETHYL)-1,3-DIOXOLAN-4-YL)METHOXY)PHENYL)-1-PIPERAZINYL)PHENYL)-.DELTA.(SUP 2)-1,2,4-TRIAZOLIN-5-ONE"
SYN08618,"3H-1,2,4-TRIAZOL-3-ONE, 4-(4-(4-(4-((2-(2,4-DICHLOROPHENYL)-2-(1H-1,2,4-TRIAZOL-1-YLMETHYL)-1,3-DIOXOLAN-4-YL)METHOXY)PHENYL)-1-PIPERAZINYL)PHENYL)-2,4-DIHYDRO-2-(1-METHYLPROPYL)-"
SYN08619,Itraconazol
SYN08620,Itraconazole
SYN08621,ITRACONAZOLE COMPONENT OF SUBA-ITRACONAZOLE
SYN08622,Itraconazolum
SYN08623,Oriconazole
SYN08624,1-Methyl-2-(p-(isopropylcarbamoyl)benzyl)hydrazine
SYN08625,2-(p-Isopropylcarbamoylbenzyl)-1-methylhydrazine
SYN08626,4-((2-Methylhydrazino)methyl)-N-isopropylbenzamide
SYN08627,N-(1-Methylethyl)-4-((2-methylhydrazino)methyl)benzamide
SYN08628,N-4-Isopropylcarbamoylbenzyl-N'-methylhydrazine
SYN08629,N-isopropyl-4-[(2-methylhydrazino)methyl]benzamide
SYN08630,N-Isopropyl-p-(2-methylhydrazinomethyl)-benzamide
SYN08631,N-Isopropyl-α-(2-methylhydrazino)-p-toluamide
SYN08632,p-(2-Methylhydrazinomethyl)-N-isopropylbenzamide
SYN08633,Procarbazin
SYN08634,Procarbazina
SYN08635,Procarbazine
SYN08636,Procarbazinum
SYN08637,Acide Arsenieux
SYN08638,Anhydride Arsenieux
SYN08639,Arsenic Blanc
SYN08640,Arsenic oxide
SYN08641,Arsenic trioxide
SYN08642,Arsenic(III) oxide
SYN08643,arsénico trióxido
SYN08644,Arsenigen Saure
SYN08645,Arsenolite
SYN08646,Arsenous oxide
SYN08647,Arsenous oxide anhydride
SYN08648,Diarsenic oxide
SYN08649,Diarsenic trioxide
SYN08650,White arsenic
SYN08651,(2-(hexahydro-1(2h)-azocinyl)ethyl)guanidine
SYN08652,(2-(Octahydro-1-azocinyl)ethyl)guanidine
SYN08653,"2-(1-N,N-Heptamethyleneimino)ethylguanidine"
SYN08654,2-(1'-Azacyclooctyl)ethylguanidine
SYN08655,"Azocine, 1-(2-guanidinoethyl)octahydro-"
SYN08656,Guanethidine
SYN08657,guanéthidine
SYN08658,guanethidinum
SYN08659,guanetidina
SYN08660,"Guanidine, (2-(hexahydro-1(2H)-azocinyl)ethyl)-"
SYN08661,"Heptamethylenimine, 1-(2-guanidinoethyl)-"
SYN08662,N-(2-Perhydroazocin-1-ylethyl)guanidine
SYN08663,4-Chlor-N-(2-morpholinoethyl)benzamid
SYN08664,Moclobemid
SYN08665,Moclobemida
SYN08666,Moclobemide
SYN08667,Moclobemidum
SYN08668,p-Chloro-N-(2-morpholinoethyl)benzamide
SYN08669,"4,6-diamino-2-hydroxy-1,3-cyclohexane 3,6'diamino-3,6'-dideoxydi-α-D-glucoside"
SYN08670,"4,6-diamino-2-hydroxy-1,3-cyclohexylene 3,6'-diamino-3,6'-dideoxydi-D-glucopyranoside"
SYN08671,Kanamycin A
SYN08672,2-(phenyl-o-tolylmethoxy)ethyldimethylamine
SYN08673,2-methyldiphenhydramine
SYN08674,beta-Dimethylaminoethyl 2-methylbenzhydryl ether
SYN08675,Dimethyl-[2-(phenyl-o-tolyl-methoxy)-ethyl]-amine
SYN08676,"N,N-Dimethyl-2-(alpha-2-tolylbenzoyloxy)ethylamine"
SYN08677,"N,N-dimethyl-2-(phenyl(o-tolyl)methoxy)ethanamine"
SYN08678,"N,N-dimethyl-2-[(o-methyl-α-phenylbenzyl)oxy]ethylamine"
SYN08679,o-methyldiphenhydramine
SYN08680,o-monomethyldiphenhydramine
SYN08681,Orfenadrina
SYN08682,Orphenadrine
SYN08683,Orphenadrinum
SYN08684,phenyl-o-tolylmethyl dimethyaminoethyl ether
SYN08685,β-dimethylaminoethyl 2-methylbenzhydryl ether
SYN08686,"5-ethyl-5-phenyl-2,4,6(1H,3H,5H)-pyrimidinetrione"
SYN08687,"5-Ethyl-5-phenyl-pyrimidine-2,4,6-trione"
SYN08688,5-Ethyl-5-phenylbarbituric acid
SYN08689,"5-ethyl-5-phenylpyrimidine-2,4,6(1H,3H,5H)-trione"
SYN08690,5-Phenyl-5-ethylbarbituric acid
SYN08691,Fenobarbital
SYN08692,Phenobarbital
SYN08693,Phenobarbitol
SYN08694,Phenobarbitone
SYN08695,Phenobarbituric Acid
SYN08696,Phenyläthylbarbitursäure
SYN08697,Phenylethylbarbiturate
SYN08698,Phenylethylbarbituric Acid
SYN08699,Phenylethylbarbitursäure
SYN08700,Phenylethylmalonylurea
SYN08701,(+)-Citalopram
SYN08702,(S)-Citalopram
SYN08703,Escitalopram
SYN08704,Escitalopramum
SYN08705,S-(+)-Citalopram
SYN08706,S(+)-Citalopram
SYN08707,(±)-1-diphenylmethyl-4-methylpiperazine
SYN08708,(N-Benzhydryl)(N'-methyl)diethylenediamine
SYN08709,1-(Diphenylmethyl)-4-methylpiperazine
SYN08710,1-Benzhydryl-4-methylpiperazin
SYN08711,Ciclizina
SYN08712,Cyclizine
SYN08713,Cyclizinum
SYN08714,N-Benzhydryl-N'-methylpiperazine
SYN08715,N-methyl-N'-benzhydrylpiperazine
SYN08716,"(1S,3S)-3-acetyl-3,5,12-trihydroxy-6,11-dioxo-1,2,3,4,6,11-hexahydronaphthacen-1-yl 3-amino-2,3,6-trideoxy-α-L-lyxo-hexopyranoside"
SYN08717,4-Demethoxydaunomycin
SYN08718,4-Demethoxydaunorubicin
SYN08719,Idarubicin
SYN08720,Idarubicina
SYN08721,Idarubicine
SYN08722,Idarubicinum
SYN08723,(±)-chlormezanone
SYN08724,"2-(p-chlorophenyl)tetrahydro-3-methyl-4H-1,3-thiazin-4-one 1,1-dioxide"
SYN08725,"2-(p-chlorphenyl)-3-methyl-1,3-perhydrothiazin-4-on-1,1-dioxide"
SYN08726,Chlormethazanone
SYN08727,Chlormezanona
SYN08728,Chlormézanone
SYN08729,Chlormezanone
SYN08730,Chlormezanonum
SYN08731,Clormezanona
SYN08732,(−)-podophyllotoxin
SYN08733,Podofilox
SYN08734,Podophyllinic acid lactone
SYN08735,Podophyllotoxin
SYN08736,PPT
SYN08737,"3,4,5-Trimethoxycinnamoyl methyl reserpate"
SYN08738,Rescinnamine
SYN08739,Trimethoxy cinnamoyl reserpate de methyl
SYN08740,"3-(2-chloroethyl)-2-((2-chloroethyl)amino)tetrahydro-2H-1,3,2-oxazaphosphorine 2-oxide"
SYN08741,Ifosfamida
SYN08742,Ifosfamide
SYN08743,Ifosfamidum
SYN08744,Iphosphamide
SYN08745,Isofosfamide
SYN08746,Isophosphamide
SYN08747,Isosfamide
SYN08748,1-(2-(2-hydroxy-3-(propylamino)propoxy)phenyl)-3-phenyl-1-propanone
SYN08749,2-(2'-hydroxy-3'-propylaminopropoxy)-ω-phenylpropiophenone
SYN08750,Propafenona
SYN08751,Propafenone
SYN08752,Propafenonum
SYN08753,(−)-naloxone
SYN08754,1-N-Allyl-14-hydroxynordihydromorphinone
SYN08755,"17-allyl-3,14-dihydroxy-4,5α-epoxymorphinan-6-one"
SYN08756,Nalossone
SYN08757,Naloxona
SYN08758,Naloxone
SYN08759,Naloxonum
SYN08760,"1-(3-(4-(5-chloro-2-oxo-2,3-dihydrobenzo[d]imidazol-1-yl)piperidin-1-yl)propyl)-1H-benzo[d]imidazol-2(3H)-one"
SYN08761,5-chloro-1-(1-(3-(2-oxo-1-benzimidazolinyl)propyl)-4-piperidyl)-2-benzimidazolinone
SYN08762,"5-chloro-1-(1-(3-(2-oxo-2,3-dihydrobenzo[d]imidazol-1-yl)propyl)piperidin-4-yl)-1H-benzo[d]imidazol-2(3H)-one"
SYN08763,"5-chloro-1-{1-[3-(2-oxo-2,3-dihydro-benzoimidazol-1-yl)-propyl]-piperidin-4-yl}-1,3-dihydro-benzoimidazol-2-one"
SYN08764,Domperidona
SYN08765,Domperidone
SYN08766,Domperidonum
SYN08767,"11β,17β-Dihydroxy-9α-fluoro-17α-methyl-4-androster-3-one"
SYN08768,17α-Methyl-9α-fluoro-11β-hydroxytesterone
SYN08769,"9-Fluoro-11β,17β-dihydroxy-17-methylandrost-4-en-3-one"
SYN08770,9α-Fluoro-11β-hydroxy-17-methyltestosterone
SYN08771,Fluoximesterona
SYN08772,Fluoxymesterone
SYN08773,Fluoxymestérone
SYN08774,Fluoxymesteronum
SYN08775,Pergolida
SYN08776,Pergolide
SYN08777,Pergolidum
SYN08778,Ethyl 10-(p-iodophenyl)-undecanoate
SYN08779,Ethyl 10-(p-iodophenyl)hendecanoate
SYN08780,Ethyl 10-(p-iodophenyl)undecylate
SYN08781,Iofendylate
SYN08782,Iophendylate
SYN08783,6-cyclohexyl-1-hydroxy-4-methyl-2(1H)-pyridinone
SYN08784,Ciclopirox
SYN08785,Ciclopiroxum
SYN08786,"(±)-2-difluoromethyl 1,2,2,2-tetrafluoroethyl ether"
SYN08787,"1,1,1,2-tetrafluoro-2-(difluoromethoxy)ethane"
SYN08788,Desflurane
SYN08789,Desflurano
SYN08790,Desfluranum
SYN08791,"Difluoromethyl 1,2,2,2-tetrafluoroethyl ether"
SYN08792,7-CDL
SYN08793,7(S)-Chloro-7-deoxylincomycin
SYN08794,Clindamicina
SYN08795,Clindamycin
SYN08796,Clindamycine
SYN08797,Clindamycinum
SYN08798,"Methyl 7-chloro-6,7,8-trideoxy-6-(1-methyl-trans-4-propyl-L-2-pyrrolidinecarboxamido)-1-thio-L-threo-alpha-D-galacto-octopyranoside"
SYN08799,(+)-fenfluramine
SYN08800,(S)-fenfluramine
SYN08801,(S)-N-ethyl-1-[3-(trifluoromethyl)phenyl]propan-2-amine
SYN08802,d-N-ethyl-α-methyl-m-trifluoromethylphenethylamine
SYN08803,Dexfenfluramina
SYN08804,Dexfenfluramine
SYN08805,Dexfenfluraminum
SYN08806,Dextrofenfluramine
SYN08807,(14S)-14-Hydroxydihydromorphinone
SYN08808,14-Hydroxydihydromorphinone
SYN08809,Dihydrohydroxymorphinone
SYN08810,Dihydroxymorphinone
SYN08811,Oximorfona
SYN08812,Oximorphonum
SYN08813,Oxymorphone
SYN08814,Oxymorphonum
SYN08815,(±)-acebutolol
SYN08816,3'-acetyl-4'-(2-hydroxy-3-(isopropylamino)propoxy)butyranilide
SYN08817,5'-butyramido-2'-(2-hydroxy-3-isopropylaminopropoxy)acetophenone
SYN08818,Acebutolol
SYN08819,Acebutololum
SYN08820,Acetobutolol
SYN08821,N-(3-acetyl-4-[2-hydroxy-3-(isopropylamino)propoxy]phenyl)butanamide
SYN08822,N-[3-acetyl-4-[2-hydroxy-3-[(1-methylethyl)amino]propoxy]phenyl]butanamide
SYN08823,Brinzolamida
SYN08824,Brinzolamide
SYN08825,(±)-flecainide
SYN08826,Flecaine
SYN08827,Flecainida
SYN08828,Flecainide
SYN08829,Flécaïnide
SYN08830,Flecainidum
SYN08831,"N-(2-Piperidinylmethyl)-2,5-bis(2,2,2-trifluoroethoxy)benzamide"
SYN08832,17β-Estradiol 3-(bis(2-chloroethyl)carbamate)
SYN08833,"Estradiol 3-(N,N-bis(2-chloroethyl)carbamate)"
SYN08834,Estramustina
SYN08835,Estramustine
SYN08836,Estramustinum
SYN08837,(2S)-1-[(2S)-2-methyl-3-sulfanylpropanoyl]pyrrolidine-2-carboxylic acid
SYN08838,Captopril
SYN08839,Captoprilum
SYN08840,Captopryl
SYN08841,CP
SYN08842,D-2-methyl-3-mercaptopropanoyl-L-proline
SYN08843,D-3-mercapto-2-methylpropanoyl-L-proline
SYN08844,L-Captopril
SYN08845,(+-)-zopiclone
SYN08846,(±)-zopiclone
