drug_id,toxicity,indication_text
DB01058,"The acute toxicity of praziquantel is relatively low, as demonstrated by oral LD<sub>50</sub> values ranging between 200 - 2976 mg/kg in various species.[L40268]

Published studies have not identified an association between praziquantel use during pregnancy and major birth defects, miscarriage, or adverse maternal or fetal outcomes. In animal reproduction studies conducted in pregnant rats and rabbits no adverse developmental outcomes were observed with oral administration of praziquantel during organogenesis at approximately 0.65 times (rats) or 1.3 times (rabbits) the highest recommended human daily dose of 75 mg/kg/day, based on body surface area.[L50021] 

Mutagenicity studies of praziquantel published in the scientific literature are inconclusive. Long-term oral carcinogenicity studies in rats and golden hamsters did not reveal any carcinogenic effect at doses up to 250 mg/kg/day (about half of the human daily dose based on body surface area). Praziquantel had no effect on fertility and general reproductive performance of male and female rats when given at oral doses ranging from 30 to 300 mg/kg body weight (up to 0.65 times the human daily dose based on body surface area).[L50021] 
","Praziquantel is indicated in patients aged 1 year and older for the treatment of the schistosomiasis due to all species of Schistosoma (for example, Schistosoma mekongi, Schistosoma japonicum, Schistosoma mansoni and Schistosoma hematobium) and clonorchiasis and opisthorchiasis due to the liver flukes, Clonorchis sinensis/Opisthorchis viverrini (approval of this indication was based on studies in which the two species were not differentiated).[L50021]"
DB01059,,For the treatment of urinary tract infection
DB01060,"Patients experiencing an overdose may present with hematuria, oliguria, abdominal pain, acute renal failure, vomiting, diarrhea, rash, hyperactivity, and drowsiness.[A190660,L11650] Treat overdose with symptomatic and supportive treatment, which may include emesis or hemodialysis.[L11650]","Amoxicillin alone is indicated to treat susceptible bacterial infections of the ear, nose, throat, genitourinary tract, skin, skin structure, and lower respiratory tract.[L11656,L11659] Amoxicillin is given with calvulanic acid to treat acute bacterial sinusitis, community acquired pneumonia, lower respiratory tract infections, acute bacterial otitis media, skin and skin structure infections, and urinary tract infections.[L11650,L7880,L11653] Amoxicillin is given with omeprazole in the treatment of _Helicobacter pylori_ (_H. pylori_) infection.[L9743,L11647]

Amoxicillin is used in combination with [vonoprazan] and [clarithromycin] as co-packaged triple therapy or in combination with [vonoprazan] as co-packaged dual therapy to treat _H. pylori_ infection in adults.[L41695]"
DB01061,,"For the treatment of infections caused by <i>Pseudomonas aeruginosa</i>, <i>Escherichia coli</i>, and <i>Haemophilus influenzae</i>."
DB01062,"The acute oral LD50 in rats is 460 mg/kg.[L8645]

**Overdose information**

An overdose with oxybutynin may manifest clinically as CNS overactivity, fever, palpitations, cardiac arrhythmias, urinary retention, respiratory failure, paralysis, in addition to coma.[T689,L8648] Provide supportive care immediately. Activated charcoal in addition to a cathartic agent should be administered. There have been 2 reports of an overdose with a 100 mg dose of oxybutynin. One case was a 13-year-old boy and another was a 34-year-old woman. Alcohol was also ingested simultaneously in both cases. The patients received supportive treatment and fully recovered.[T689]","Oxybutynin is indicated for the symptomatic treatment of overactive bladder, which causes urge urinary incontinence and frequency, and urgency.  Oxybutynin may also be used for children aged 6 and above for the symptomatic management of detrusor muscle overactivity which has been found to be related to a neurological condition. Spina bifida is an example of a neurological condition in which oxybutynin may be used to control urinary symptoms.[L8648] On occasion, oxybutynin may be used off-label to relieve bladder spasms associated with ureteral stents or urinary catheters.[T689]"
DB01063,,For the treatment of disorganized and psychotic thinking. Also used to help treat false perceptions (e.g. hallucinations or delusions.)
DB01064,"Patients experiencing an overdose may present with tachycardia, arrhythmias, palpitations, angina, hypotension, or hypertension.[L33160] Overdose should be treated by reducing or stopping administration of isoprenaline and monitoring blood pressure, pulse, respiration, and ECG.[L33160]

In rats, the LD<sub>50</sub> is 2221 mg/kg orally, 128 mg/kg intraperitoneally, and 600 mg/kg subcutaneously.[L33189] In mice, the LD<sub>50</sub> is 1260 orally and 450 mg/kg intraperitoneally.[L33189]","Isoprenaline is indicated to treat mild or transient episodes of heart block not requiring electric shock or pacemakers, serious episodes of heart block and Adams-Stokes attacks not caused by ventricular tachycardia or fibrillation, and bronchospasm during anesthesia.[L33160] Isoprenaline is also indicated for cases of cardiac arrest until preferable treatments like electric shock and pacemakers are available.[L33160] Isoprenaline is also indicated as an adjunct therapy to fluid and electrolyte replacement therapy in hypovolemic shock, septic shock, hypoperfusion, congestive heart failure, and cardiogenic shock.[L33160]"
DB01065,"<p>Generally well-tolerated when taken orally. The most common side effects, day-time drowsiness, headache and dizziness, appear to occur at the same frequency as with placebo. Other reported side effects include transient depressive symptoms, mild tremor, mild anxiety, abdominal cramps, irritability, reduced alertness, confusion, nausea, vomiting, and hypotension. Safety in Adults: Evidence indicates that it is likely safe to use in oral and parenteral forms for up to two months when used appropriately. Some evidence indicates that it can be safely used orally for up to 9 months in some patients. It is also likely safe to use topically when used appropriately. Safety in Children: Melatonin appeared to be used safely in small numbers of children enrolled in short-term clinical trials. However, concerns regarding safety in children have arisen based on their developmental state. Compared to adults over 20 years of age, people under 20 produce high levels of melatonin. Melatonin levels are inversely related to gonadal development and it is thought that exogenous administration of melatonin may adversely affect gonadal development. Safety during Pregnancy: High doses of melatonin administered orally or parenterally may inhibit ovulation. Not advised for use in individuals who are pregnant or trying to become pregnant. Safety during Lactation: Not recommended as safety has not be established.</p>
<p>Oral, rat: LD<sub>50</sub> &ge;3200 mg/kg</p>
","Used orally for jet lag, insomnia, shift-work disorder, circadian rhythm disorders in the blind (evidence for efficacy), and benzodiazepine and nicotine withdrawal. Evidence indicates that melatonin is likely effective for treating circadian rhythm sleep disorders in blind children and adults. It has received FDA orphan drug status as an oral medication for this use. A number of studies have shown that melatonin may be effective for treating sleep-wake cycle disturbances in children and adolescents with mental retardation, autism, and other central nervous system disorders. It appears to decrease the time to fall asleep in children with developmental disabilities, such as cerebral palsy, autism, and mental retardation. It may also improve secondary insomnia associated with various sleep-wake cycle disturbances. Other possible uses for which there is some evidence for include: benzodiazepine withdrawal, cluster headache, delayed sleep phase syndrome (DSPS), primary insomnia, jet lag, nicotine withdrawal, preoperative anxiety and sedation, prostate cancer, solid tumors (when combined with IL-2 therapy in certain cancers), sunburn prevention (topical use), tardive dyskinesia, thrombocytopenia associated with cancer, chemotherapy and other disorders. "
DB01066,"Information on cefditoren pivoxil overdosage in humans is not available. However, with other b-lactam antibiotics, adverse effects following overdosage have included nausea, vomiting, epigastric distress, diarrhea, and convulsions. In acute animal toxicity studies, cefditoren pivoxil when tested at the limit oral doses of 5100 mg/kg in rats and up to 2000 mg/kg in dogs did not exhibit any health effects of concern.","For the treatment of mild to moderate infections in adults and adolescents (12 years of age or older) which are caused by susceptible strains of microorganisms in acute bacterial exacerbation of chronic bronchitis, community-acquired pneumonia, pharyngitis/tonsillitis, and uncomplicated skin and skin-structure infections."
DB01067,"In rats, the oral LD<sub>50</sub> is reported to be greater than 4000 mg/kg and the intraperitoneal LD<sub>50</sub> is 1200 mg/kg. The lowest published toxic dose (TDLo) via oral route in child was 379 μg/kg.[MSDS] 

Symptoms of overdose in sulfonylureas, including glipizide, may be related to severe hypoglycemia and may include coma, seizure, or other neurological impairment. These are symptoms of severe hypoglycemia and require immediate treatment with glucagon or intravenous glucose and close monitoring for a minimum of 24 to 48 hours since hypoglycemia may recur after apparent clinical recovery. Mild hypoglycemic symptoms without loss of consciousness or neurologic findings should be treated with oral glucose.[label]",Indicated as an adjunct to diet and exercise to improve glycemic control in adults with type 2 diabetes mellitus.[label] 
DB01068,"Benzodiazepines like clonazepam commonly cause drowsiness, ataxia, dysarthria, and nystagmus. Overdose with clonazepam is generally not life-threatening if the drug is taken alone, but may lead to areflexia, apnea, hypotension, cardiorespiratory depression, and coma. Coma, if it does occur, usually lasts a few hours but it can become more protracted and cyclical, especially in elderly patients. Increased frequency of seizures may occur in patients at supratherapeutic plasma concentrations. Benzodiazepine respiratory depressant effects are more serious when compounded in patients with respiratory disease.

An increased risk of congenital malformations associated with the use of benzodiazepine drugs like clonazepam has been suggested in several studies [FDA Label] [F3763, F3796]. There may also be non-teratogenic risks associated with the use of benzodiazepines during pregnancy [FDA Label] [F3763, F3796]. There have been reports of neonatal flaccidity, respiratory and feeding difficulties, and hypothermia in children born to mothers who have been receiving benzodiazepines late in pregnancy [FDA Label] [F3763, F3796]. In addition, children born to mothers receiving benzodiazepines late in pregnancy may be at some risk of experiencing withdrawal symptoms during the postnatal period [FDA Label] [F3763, F3796]. In general, it is best for patients who are of childbearing potential and also use benzodiazepines like clonazepam to discuss such matters with their health care professionals as careful consideration must be undertaken regarding the intersection of the risks of untreated seizure potential in the patient and any possible toxicity to the fetus [FDA Label] [F3763, F3796].

Although the active ingredient of clonazepam has been found to pass into the maternal milk in small amounts only, mothers receiving clonazepam should not breast-feed their infants [FDA Label] [F3763, F3796].

Since the possibility that adverse effects on the physical or mental development of the child could become apparent only after a number of years, the risk-benefit consideration of the long-term use of clonazepam in pediatric patients younger than five years of age is important [FDA Label] [F3763, F3796].

The pharmacological effects of benzodiazepines like clonazepam appear to be greater in elderly patients than in younger patients even at similar plasma benzodiazepine concentrations, possibly because of age-related changes in drug-receptor interactions, post-receptor mechanisms, and organ function [FDA Label] [F3763, F3796]. In general elderly patients should be started on the lowest possible dose of clonazepam and observed closely [FDA Label] [F3763, F3796]. There is an increased risk for falls and fractures among elderly and debilitated benzodiazepine users [FDA Label] [F3763, F3796]. The risk is increased in those taking concomitant sedatives, including substances like benzodiazepines, alcoholic beverages, and so on [FDA Label] [F3763, F3796].   
 
Some oral LD50 values documented are >4000 mg/kg for the mouse model, >4000 mg/kg for the adult rat model, and >2000 mg/kg for the rabbit model [F3763].","Clonazepam is indicated as monotherapy or as an adjunct in the treatment of Lennox-Gastaut syndrome (petit mal variant), akinetic, and myoclonic seizures.[FDA Label][F3787] Furthermore, clonazepam may also be of some value in patients with absence spells (petit mal) who have failed to respond to succinimides.[FDA Label][F3787] Additionally, clonazepam is also indicated for the treatment of panic disorder, with or without agoraphobia, as defined in the DSM-V.[FDA Label]

Alternatively, some regional prescribing information note that clonazepam is indicated for all clinical forms of epileptic disease and seizures in adults, especially absence seizures (petit mal) including atypical absence; primary or secondarily generalised tonic-clonic (grand mal), tonic or clonic seizures; partial (focal) seizures with elementary or complex symptomatology; various forms of myoclonic seizures, myoclonus and associated abnormal movements.[L5572,F3796] Such regional label data also has clonazepam indicated for most types of epilepsy in infants and children, especially absences (petit mal), myoclonic seizures and tonic-clonic fits, whether due to primary generalized epilepsy or to secondary generalization of partial epilepsy.[F3796]                                                                                                                                                                 "
DB01069,,
DB01069,"The intraperitoneal LD<sub>50</sub> in rats is 170mg/kg and in mice is 160mg/kg.[L11338] The subcutaneous LD<sub>50</sub> in rats is 400mg/kg and in mice is 240mg/kg.[L11338] The oral LD<sub>50</sub> in mice is 255mg/kg.[L11338]

Patients experiencing an overdose of promethazine may present with mild central nervous system and cardiovascular depression, hypotension, respiratory depression, unconciousness, hyperreflexia, hypertonia, ataxia, athetosis, extensor-plantar reflexes, convulsions, dry mouth, flushing, gastrointestinal symptoms, and fixed, dilated pupils.[L4000] Treat overdoses with symptomatic and supportive treatment, which may include activated charcoal, sodium sulfate, magnesium sulfate, controlled ventilation, diazepam, intravenous fluids, vasopressors, norepinephrine, phenylephrine, anticholinergic antiparkinsonian agents, diphenhydramine, barbiturates, or oxygen.[L4000]","Promethazine tablets and suppositories are indicated to treat rhinitis, allergic conjunctivitis, allergic reactions to blood or plasma, dermographism, anaphylactic reactions, sedation, nausea, vomiting, pain, motion sickness, and allergic skin reactions.[A189907,L4000] Promethazine cough syrup with phenylephrine and codeine is indicated to relieve cough and upper respiratory symptoms, and nasal congestion associated with allergy or the common cold.[L11326]"
DB01070,Toxicity associated with dihydrotachysterol is similar to that seen with large doses of vitamin D.,"Used for the prevention and treatment of rickets or osteomalacia, and to manage hypocalcemia associated with hypoparathyroidism or pseudohypoparathyroidism. Also used for the treatment of vitamin D dependent rickets, rickets or osteomalacia secondary to long-term high dose anticonvulsant therapy, early renal osteodystrophy, osteoporosis (in conjunction with calcium), and hypophosphatemia associated with Fanconi syndrome (with treatment of acidosis)."
DB01071,,
DB01071,,"For the treatment of Hay fever, urticaria (hives) and allergic rhinitis"
DB01072,,Atazanavir is indicated in combination with other antiretroviral agents for the treatment of HIV-1 infection in adults and pediatric patients 3 months of age and older weighing at least 5kg.[L37604] Atazanavir is also indicated in combination with [cobicistat] and other antiretrovirals for the treatment of HIV-1 infection in adults and pediatric patients weighing at least 35kg.[L37599]
DB01073,,For the treatment of adult patients with B-cell chronic lymphocytic leukemia (CLL) who have not responded to or whose disease has progressed during treatment with at least one standard alkylating-agent containing regimen
DB01074,"Oral LD<sub>50</sub> rat: 2150 mg/kg; Oral LD<sub>50</sub> Mouse: 2641 mg/kg. Short term adverse effects include nausea, transient dizziness, hypoglycaemia in diabetic patients, and torsade de pointes (rare).",For the management of severe angina pectoris.
DB01075,,
DB01075,"Overdose is expected to result in effects similar to the adverse effects that are ordinarily associated with the use of diphenhydramine, including drowsiness, hyperpyrexia, and anticholinergic effects, among others [L5266, L5269, L5281, L5287, F3394]. Additional symptoms during overdose may include mydriasis, fever, flushing, agitation, tremor, dystonic reactions, hallucinations and ECG changes [L5287]. Large overdose may cause rhabdomyolysis, convulsions, delirium, toxic psychosis, arrhythmias, coma and cardiovascular collapse [L5287]. Moreover, with higher doses, and particularly in children, symptoms of CNS excitation including hallucinations and convulsions may appear; with massive doses, coma or cardiovascular collapse may follow [F3394].

Although diphenhydramine has been in widespread use for many years without ill consequence, it is known to cross the placenta and has been detected in breast milk [F3394]. This medication should therefore only be used when the potential benefit of treatment to the mother exceeds any possible hazards to the developing fetus or suckling infant [F3394].

Pharmacokinetic studies indicate no major differences in the distribution or elimination of diphenhydramine compared to younger adults [F3394]. Nevertheless, diphenhydramine should be used with caution in the elderly, who are more likely to experience adverse effects [L5287]. Avoid use in elderly patients with confusion [L5287].

The results of a review on the use of diphenhydramine in renal failure suggest that in moderate to severe renal failure, the dose interval should be extended by a period dependent on Glomerular filtration rate (GFR) [F3394].

After intravenous administration of 0.8 mg/kg diphenhydramine, a prolonged half-life was noted in patients with chronic liver disease which correlated with the severity of the disease [F3394]. However, the mean plasma clearance and apparent volume of distribution were not significantly affected [F3394].

LD<sub>50</sub>=500 mg/kg (orally in rats). Considerable overdosage can lead to myocardial infarction (heart attack), serious ventricular dysrhythmias, coma and death.","Diphenhydramine is a first-generation histamine H1 receptor antagonist (H1 antihistamine) that is widely available as a non-prescription, over-the-counter (OTC) medication. As an OTC medication, diphenhydramine is typically formulated as tablets and creams indicated for use in treating sneezing, runny nose, itchy/watery eyes, itching of nose or throat, insomnia, pruritis, urticaria, insect bites/stings, allergic rashes, and nausea [L5263, L5266, L5269, F3379, A174541].

Additionally, when the use of oral diphenhydramine is impractical, there are also prescription-only formulations such as diphenhydramine injection products that are effective in adults and pediatric patients (other than premature infants and neonates) for:
i) the amelioration of allergic reactions to blood or plasma, in anaphylaxis as an adjunct to epinephrine and other standard measures after acute allergic reaction symptoms have been controlled, and for other uncomplicated allergic conditions of the immediate type when oral therapy is impossible or contraindicated [F3352];
ii) the active treatment of motion sickness [F3352]; and
iii) use in parkinsonism when oral therapy is impossible or contraindicated, as follows: parkinsonism in the elderly who are unable to tolerate more potent agents; mild cases of parkinsonism in other age groups, and in other cases of parkinsonism in combination with centrally acting anticholinergic agents [F3352]."
DB01076,"The reported LD50 of oral atorvastatin in mice is higher than 5000 mg/kg.[MSDS] In cases of overdose with atorvastatin, there is reported symptoms of complicated breathing, jaundice, liver damage, dark urine, muscle pain, and seizures.[L6031] In case of overdose, symptomatic treatment is recommended and due to the high plasma protein binding, hemodialysis is not expected to generate significant improvement.[FDA label]

In carcinogenic studies with high doses of atorvastatin, evidence of rhabdomyosarcoma, fibrosarcoma, liver adenoma, and liver carcinoma were observed.[FDA label]

In fertility studies with high doses of atorvastatin, there were events of aplasia, aspermia, low testis and epididymal weight, decreased sperm motility, decreased spermatid head concentration and increased abnormal sperm.[FDA label]

Atorvastatin was shown to not be mutagenic in diverse mutagenic assays.[FDA label]","Atorvastatin is indicated for the treatment of several types of dyslipidemias, including primary hyperlipidemia and mixed dyslipidemia in adults, hypertriglyceridemia, primary dysbetalipoproteinemia, homozygous familial hypercholesterolemia, and heterozygous familial hypercholesterolemia in adolescent patients with failed dietary modifications.[A177397]

Dyslipidemia describes an elevation of plasma cholesterol, triglycerides or both as well as to the presence of low levels of high-density lipoprotein. This condition represents an increased risk for the development of atherosclerosis.[L6025] 

Atorvastatin is indicated, in combination with dietary modifications, to prevent cardiovascular events in patients with cardiac risk factors and/or abnormal lipid profiles.[A177397]

Atorvastatin can be used as a preventive agent for myocardial infarction, stroke, revascularization, and angina, in patients without coronary heart disease but with multiple risk factors and in patients with type 2 diabetes without coronary heart disease but multiple risk factors.[A177397]

Atorvastatin may be used as a preventive agent for non-fatal myocardial infarction, fatal and non-fatal stroke, revascularization procedures, hospitalization for congestive heart failure and angina in patients with coronary heart disease.[A177397]

Prescribing of statin medications is considered standard practice following any cardiovascular events and for people with a moderate to high risk of development of CVD. Statin-indicated conditions include diabetes mellitus, clinical atherosclerosis (including myocardial infarction, acute coronary syndromes, stable angina, documented coronary artery disease, stroke, trans ischemic attack (TIA), documented carotid disease, peripheral artery disease, and claudication), abdominal aortic aneurysm, chronic kidney disease, and severely elevated LDL-C levels.[A181087, A181406]"
DB01077,"Patients experiencing an overdose may present with hypocalcemia, vomiting, parasthesia, and diarrhea.[L13901] Overdose can be treated with symptomatic and supportive treatment that may include management of electrolyte imbalances and intravenous calcium gluconate.[L13901]","Etidronate is indicated to treat Paget's disease of bone, as well as the treatment and prevention of heterotropic ossification after total hip replacement of spinal cord injury.[L13901]"
DB01078,"Symptoms of overdose include ventricular tachycardia, ventricular fibrillation, progressive bradyarrhythmias, or heart block.","For the treatment and management of Congestive cardiac insufficiency, arrhythmias and heart failure."
DB01079,"Single oral doses of 120 mg (which is 20 times the recommended dose) of tegaserod were administered to three healthy subjects in one study [F4223]. All three subjects developed diarrhea and headache. Two of these subjects also reported intermittent abdominal pain and one developed orthostatic hypotension [F4223]. In 28 healthy subjects exposed to 90 to 180 mg per day of tegaserod (which is 7.5 to 15 times the recommended daily dosage) for several days, adverse reactions were diarrhea (100%), headache (57%), abdominal pain (18%), flatulence (18%), nausea (7%), and vomiting (7%) [F4223].

Although available data from case reports with tegaserod use in pregnant women have not identified a drug-associated risk of major birth defects, miscarriage, or adverse maternal or fetal outcomes, animal studies involving maternal dietary administration of tegaserod with doses 45 to 71 times the recommended dose demonstrated decreased body weight, delays in developmental landmarks, and decreased survival in rat pups [F4223]. Caution and careful consideration of risks versus benefits are recommended before administering tegaserod to a pregnant woman.

Despite there being little if any data available regarding the presence of tegaserod in human milk, the effects on the breastfed infant, or the effects on milk production, tegaserod and its metabolites are present in rat milk and the milk to plasma concentration ratio is very high in rats [F4223]. Subsequently, because of the potential for serious reactions in the breastfed infant, including tumorigenicity, breastfeeding is not recommended during treatment with tegaserod [F4223].

The safety and effectiveness of tegaserod in pediatric patients has not yet been established [F4223].

Tegaserod is not indicated in patients that are aged 65 years or older [F4223].

Tegaserod was not carcinogenic in rats given oral dietary doses up to 180 mg/kg/day (approximately 93 to 111 times the recommended dose based on AUC) for 110 to 124 weeks [F4223]. In mice, dietary administration of tegaserod for 104 weeks produced mucosal hyperplasia and adenocarcinoma of the small intestine at 600 mg/kg/day (approximately 83 to 110 times the recommended dose based on AUC) [F4223]. There was no evidence of carcinogenicity at lower doses (3 to 35 times the recommended dose based on AUC) [F4223]. Tegaserod was not genotoxic in the in vitro Chinese hamster lung fibroblast (CHL/V79) cell chromosomal aberration and forward mutation test, the in vitro rat hepatocyte unscheduled DNA synthesis (UDS) test or the in vivo mouse micronucleus test [F4223]. The results of the Ames test for mutagenicity were equivocal. Tegaserod at oral (dietary) doses up to 240 mg/kg/day (approximately 57 times the recommended dose based on AUC) in male rats and 150 mg/kg/day (approximately 42 times the recommended dose based on AUC) in female rats was found to have no effect on fertility and reproductive performance [F4223].

Inhibition of the hERG (human Ether-a-go-go-Related Gene) channel was evident only in the micromolar concentration range with an IC50 of 13 micromolar (approximately 1300 times the Cmax in humans at the recommended dose) [F4223]. In in vitro studies, tegaserod had no effects on impulse conduction in isolated guinea pig papillary muscle at up to 100 times the Cmax in humans, Langendorff-perfused isolated rabbit heart (QT interval) at up to 1000 times the Cmax in humans, or human atrial myocytes at multiples up to 10 times the Cmax in humans [F4223]. The major metabolite, M29, had no effect on QT in the Langendorff-perfused isolated rabbit heart at multiples up to 323 times the Cmax in humans [F4223].

In anesthetized and conscious dogs, tegaserod at doses up to 92 to 134 times the recommended dose based on Cmax did not alter heart rate, QRS interval duration, QTc or other ECG parameters [F4223]. In chronic toxicology studies in rats and dogs, there were no treatment-related changes in cardiac morphology after tegaserod administration at doses up to 660 times the recommended dose based on AUC [F4223].

Although tegaserod is expected to bind to 5-HT2B receptors in humans at the recommended dose, there does not appear to be any potential for heart valve injury based on functional evidence of 5-HT2B receptor antagonism [F4223].

Studies with isolated coronary and mesenteric blood vessels from non-human primates and humans showed no vasoconstrictor effect at concentrations approximately 100 times the human Cmax [F4223]. Tegaserod exhibited antagonism of 5-HT-mediated vasoconstriction via 5-HT1B receptors [F4223]. In rat thoracic aortic rings that were pre-constricted with phenylephrine or norepinephrine, tegaserod produced vasorelaxation, with IC50 values 6 and 64 times the Cmax plasma concentrations in humans, respectively [F4223]. No effects were observed in the basal tone of aortic rings at concentrations up to 1000 times the human Cmax [F4223].

In studies with an anesthetized rat model for measuring macro- and micro-circulation of the colon, intraduodenal dosing with tegaserod (approximately 7 times the recommended dose based on Cmax) produced no clinically relevant effect on blood pressure, heart rate, or vascular conductance [F4223].","Tegaserod is a serotonin-4 (5-HT4) receptor agonist indicated for the treatment of adult women less than 65 years of age with irritable bowel syndrome with constipation (IBS-C) [F4223, F4229]. The safety and effectiveness of tegaserod in men with IBS-C have not been established [F4223, F4229]."
DB01080,"The oral LD<sub>50</sub> of vigabatrin in mice and rats is 2830 mg/kg and 3100 mg/kg, respectively.[L13652] Symptoms of overdose tend to involve significant CNS depression - e.g. coma, unconsciousness, and/or drowsiness - with less common symptoms including neurologic disorders (e.g. seizure activity, speech disorder, headache) and psychiatric sequelae (e.g. psychosis, agitation, abnormal behaviour, confusion).[L13616] 

In cases of overdose, symptoms generally resolve with symptomatic and supportive care. Standard measures to remove unabsorbed drug may be employed (e.g. gastric lavage), although an _in vitro_ study found that activated charcoal did not significantly absorb vigabatrin.[L13616] Although vigabatrin is not protein-bound, the effectiveness of hemodialysis in drug removal during overdose is unknown - isolated reports of patients in renal failure undergoing hemodialysis who were receiving therapeutic doses of vigabatrin note a reduction in vigabatrin plasma concentrations of 40-60% following dialysis.[L13616]",Vigabatrin is indicated as adjunctive therapy in the treatment of refractory complex partial seizures in patients 2 years of age and older who have had inadequate responses to multiple previous treatments (i.e. not to be used for first-line therapy).[L13616] It is also indicated as monotherapy in the treatment of infantile spasms in patients between 1 month and 2 years of age for whom the potential benefits outweigh the risk of vision loss.[L13616]
DB01081,"Coma, dry skin and mucous membranes, enlarged pupils of the eyes, extremely high body temperature, flushing, involuntary eyeball movement, lower than normal muscle tone, pinpoint pupils, rapid heartbeat, restlessness, sluggishness, suppressed breathing",For as adjunctive therapy in the management of diarrhea
DB01082,"The most common symptoms of streptomycin overdose are ototoxicity and vestibular impairment.[A233320] Streptomycin is also associated with nephrotoxicity which presents as mild elevations in blood urea, mild proteinuria, and excess cellular excretion. While in severe cases, streptomycin may lead to permanent hearing loss and vestibular dysfunction, any associated nephrotoxicity is typically transient.[A233320,A233385] In cases of toxicity, streptomycin serum concentrations may be lowered with dialysis.[A233320]
","Although streptomycin was the first antibiotic available for the treatment of mycobacterium tuberculosis, it is now largely a second line option due to resistance and toxicity.[A233320] Streptomycin may also be used to treat a variety of other infections caused by susceptible strains of aerobic bacteria where other less toxic agents are ineffective. Examples include: _Yersinia pestis_, _Francisella tularensis_, _Brucella_, _Calymmatobacterium granulomatis_ (donovanosis, granuloma inguinale), _H. ducreyi_ (chancroid), _H. influenzae_ (in respiratory, endocardial, and meningeal infections - concomitantly with another antibacterial agents). _K. pneumoniae_ pneumonia (concomitantly with another antibacterial agent), _E.coli_, _Proteus_, _A.aerogenes_, _K. pneumoniae_, and 
_Enterococcus faecalis_ in urinary tract infections, _Streptococcus viridans_, _Enterococcus faecalis_ (in endocardial infections - concomitantly with penicillin), and Gram-negative bacillary bacteremia (concomitantly with another antibacterial agent)."
DB01083,"The oral LD50 of orlistat is >5000 mg/kg in rats.[L32078] Single orlistat doses of 800 mg and multiple doses of up to 400 mg three times a day for 15 days have been administered to healthy weight and obese subjects without clinically significant adverse findings. In addition, doses of 240 mg three times a day have been given to obese patients for 6 months without a significant adverse effects. Post-marketing reports of overdoses cases indicate no adverse events or adverse events that are similar to those reported with the recommended dose. If a significant overdose with orlistat occurs, the patient should be observed for at least 24 hours. Based on the results of clinical studies, systemic effects caused by orlistat are likely to be rapidly reversible.[L32068]
",Orlistat is indicated for obesity management including weight loss and weight maintenance when used in combination with calorie reduction in overweight and obese adults; this indication applies to both the prescription formulation of 120 mg[L11130] and the over-the-counter formulation of 60 mg.[L31963] Orlistat in the 120 mg prescription formulation is also indicated to reduce the risk of weight regain following weight loss.[L11130]
DB01084,,
DB01084,Somnolence and malaise have been reported following daily oral administration.,For the temporary relief of the signs and symptoms of allergic conjunctivitis.
DB01085,"The oral LD<sub>50</sub> value in mice for pilocarpine hydrochloride are 200 mg/kg. The intraperitoneal and subcutaneous LD<sub>50</sub> values in rats for pilocarpine hydrochloride are 203 mg/kg and 230 mg/kg, respectively.[L48721]


Overdosage can produce sweating, salivation, nausea, tremors, slowing of the pulse, and decreased blood pressure.[L48561] Fatal overdosage with pilocarpine has been reported in the scientific literature at doses presumed to be greater than 100 mg. Severe overdosage should be treated with titrated atropine (0.5 mg to 1.0 mg given subcutaneously or intravenously), which is a muscarinic antagonist. Supportive measures should be initiated to maintain respiration and circulation. Epinephrine (0.3 mg to 1.0 mg, subcutaneously or intramuscularly) may also be used in response to severe cardiovascular depression or bronchoconstriction. It is not known if pilocarpine is dialyzable.[L48566] Systemic toxicity following ophthalmic use of pilocarpine is rare, but some patients may experience sweating and gastrointestinal overactivity at therapeutic doses.[L48561] ","Pilocarpine oral tablets are indicated for the treatment of dry mouth caused by Sjogren's Syndrome or radiotherapy for cancer of the head and neck.[L48566]

Pilocarpine ophthalmic formulations are used to treat presbyopia in adults,[L48556, L48631] reduce elevated intraocular pressure (IOP) in patients with open-angle glaucoma or ocular hypertension, manage acute angle-closure glaucoma, prevent postoperative elevated IOP associated with laser surgery, and induce miosis.[L48561]"
DB01086,"Patients experiencing an overdose may present with local anesthetic systemic toxicity syndrome, decreased cardiovascular function, decreased central nervous system function, cardiac arrest, bradycardia, hypotension, cardiac arrhythmias, syncope, and seizures.[A231219] Patients should be treated with symptomatic and supportive measures which include airway maintenance, controlling seizures, and hemodynamic stabilization.[A231219]","Benzocaine is indicated for local anesthesia in dentistry, minor trauma, and as preparation for infiltrative anesthesia.[A231219] Benzocaine products are indicated for topical anesthesia in a wide variety of conditions including skin irritation,[L32454] oral pain,[L32459] and hemorrhoids.[L32464]"
DB01087,,For the treatment of malaria.
