food_interaction_id,food_interaction
F390,Limit caffeine intake. Excess caffeine intake can also cause a hypertensive crisis.
F391,Take before a meal. Take before a meal. Propantheline bromide should be taken 15 to 30 minutes before meals.
F392,Drink plenty of fluids. Dehydration with acyclovir predisposes patients to nephrotoxicity.
F393,Drink plenty of fluids. Inadequate fluid intake is associated with crystalluria and stone formation.
F394,Take on an empty stomach. Orally administered fenoldopam should be taken in a fasted state for optimal absorption.
F395,Avoid alcohol. Alcohol may increase drowsiness caused by dicyclomine.
F396,"Drink plenty of fluids. Dicyclomine may reduce sweating, increasing the risk of overheating in warm weather or during exercise."
F397,"Take with food. Administration with food may reduce irritation. Co-administration with food modestly increases the mean pentoxifylline AUC and maximum plasma concentrations (1.1- and 1.3-fold, respectively) achieved with an extended-release tablet."
F398,Avoid alcohol. Alcohol may potentiate orthostatic hypotension.
F399,Increase consumption of potassium-rich foods. Indapamide my cause potassium depletion leading to hypokalemia.
F400,Avoid alcohol. Ribavirin is used to treat chronic hepatitis C infection; ingesting alcohol may worsen this infection.
F401,Take with food. Taking ribavirin with a high-fat meal slows the absorption and increases the AUC and Cmax of ribavirin.
F402,Avoid alcohol. The risk of gastrointestinal bleeding may be increased.
F403,"Take after a meal. When Sodium lauryl sulfate is formulated in paste form for oral health, it should be used after meals."
F404,Take with food. Take at least 6 hours before bedtime.
F405,Avoid excessive or chronic alcohol consumption. Ingesting excess amounts of alcohol (more than four drinks in a short time) may potentiate the hypotension and dizziness caused by tadalafil.
F406,"Avoid grapefruit products. Tadalafil is metabolized by CYP3A4, and grapefruit products are CYP3A4 inhibitors; therefore, coadministration may increase serum levels of tadalafil and result in increased hypotension."
F407,Avoid alcohol. Avoid alcohol for up to 14 days after discontinuation.
F408,Take on an empty stomach. Food may decrease absorption and time to therapeutic effect.
F409,Avoid excessive or chronic alcohol consumption. Ingesting alcohol may potentiate the sedative and CNS depressant effects of trifluoperazine.
F410,Avoid grapefruit products. Grapefruit inhibits the metabolism of mifepristone through the CYP3A4 pathway causing increased serum levels of mifepristone.
F411,Take with food. Taking mifepristone with meals has been shown to increase serum levels of mifepristone.
F412,Avoid excessive or chronic alcohol consumption. Ingesting alcohol may increase the risk of hypoglycemia.
F413,Take with food. Taking tolazamide with breakfast may help reduce the risk of hypoglycemia.
F414,Avoid alcohol. Co-administration with alcohol may potentiate the CNS effects of oxazepam.
F415,Avoid alcohol. Ingesting alcohol may increase the sedative and CNS depressant effects of nalbuphine.
F416,Take with food. Prescribing information for clofazimine recommends its administration with a meal.
F417,Take on an empty stomach. The delayed-release capsules should be taken at least 30 minutes before or 2 hours after a high-fat meal to ensure adequate exposure.
F418,Take with or without food. The immediate release preparation can be taken with or without food.
F419,Avoid alcohol. Consuming alcohol may increase hypotension. Perphenazine may increase the effects of alcohol.
F420,Take on an empty stomach. Fasting for four to six hours before treatment may be beneficial to reduce nausea and vomiting associated with Dacarbazine therapy.
F421,Take on an empty stomach. Food reduces the absorption of temozolomide and taking it on an empty stomach may reduce temozolomide associated nausea and vomiting.
F422,"Limit caffeine intake. Terbinafine may reduce the metabolism of caffeine by approximately 19%, monitor for increased effects of caffeine."
F423,"Avoid grapefruit products. Vardenafil is metabolized by CYP3A4, and grapefruit products are CYP3A4 inhibitors; therefore, coadministration may increase serum levels of vardenafil and result in increased hypotension. ."
F424,"Take with or without food. High-fat meals reduce the Cmax of vardenafil; however, there are no changes in AUC or Tmax."
F425,Avoid alcohol. Consuming alcohol may increase the rate of tacrolimus release from extended-release formulations.
F426,"Exercise caution with St. John's Wort. This herb induces the CYP3A4 metabolism of tacrolimus; therefore, monitoring tacrolimus whole blood trough concentrations may be warranted."
F427,Take on an empty stomach. Take at least 1 hour before or 2 hours after a meal as coadministration with food decreases the rate and extent of absorption.
F428,"Take separate from antacids. Coadministration of tacrolimus with aluminum or magnesium hydroxide antacids may increase the serum levels of tacrolimus, which poses a risk for toxicity."
F429,Limit caffeine intake. Excess caffeine intake may increase the CNS stimulation caused by benzphetamine hydrochloride.
F430,Avoid alcohol. Flupentixol can enhance the sedative effects of alcohol.
F431,Take with or without food. Food has negligible effects on drug pharmacokinetics.
F432,Avoid grapefruit products. Grapefruit inhibits the CYP3A4 metabolism of sirolimus and increases its serum concentration.
F433,Exercise caution with St. John's Wort. This herb induces CYP3A4 and P-gp; thus it may reduce sirolimus serum concentrations.
F434,Take separate from meals. May affect the taste of food and beverages. Avoid eating or drinking for 30 minutes following use.
F435,Take with or without food. Food decreases drug absorption.
F436,"Avoid alcohol. Ingesting alcohol may increase the risk of complex behaviors like sleep-driving, which the patient does not remember."
F437,"Avoid grapefruit products. Grapefruit may reduce the CYP3A4 metabolism of triazolam, which increases the serum concentration of triazolam."
F438,Avoid alcohol. Ingesting alcohol may increase the sedative and CNS depressant effects of remifentanil.
F439,"Exercise caution with grapefruit products. Grapefruit may delay the absorption of quinidine, and inhibit its metabolism through CYP3A4."
F440,Take separate from antacids. Antacids may reduce the absorption of quinidine.
F441,Take with or without food. Taking quinidine with food may slow its absorption.
F442,Avoid antacids. Avoid taking aluminum-containing antacids chronically with paricalcitol as there is an increased risk of aluminum toxicity.
F443,"Exercise caution with grapefruit products. Grapefruit inhibits CYP3A4, and paricalcitol metabolism is mediated partially through CYP3A4; therefore, grapefruit may increase paricalcitol serum levels."
F444,"Avoid alcohol. Avoid concomitant use of alcohol with tinidazole as it may cause flushing, nausea, vomiting, and headaches."
F445,Take with food. Administering with food may reduce gastrointestinal upset and epigastric discomfort caused by tinidazole but does not affect bioavailability.
F446,Take before a meal. Repaglinide should be taken before each meal of the day.
F447,"Avoid alcohol. Unpleasant symptoms such as nausea, vomiting, and abdominal distress may occur with alcohol."
F448,"Take with or without food. The extended release formulation should, however, be taken without food."
F449,Take with or without food. The co-administration of food does not significantly affect ketotifen disposition.
F450,Avoid alcohol. Ingesting alcohol may increase the sedative and CNS depressant effects of buprenorphine.
F451,"Avoid grapefruit products. Grapefruit inhibits the metabolism of buprenorphine through CYP3A4, which increases the serum levels buprenorphine."
F452,"Take separate from meals. When buprenorphine is formulated as a sublingual tablet or buccal film, avoid eating or drinking until the dosage form is completely dissolved."
F453,Avoid alcohol. Cyclobenzaprine is a central nervous system depressant which may be potentiated by the co-administration of alcohol.
F454,Avoid alcohol. Alcohol should be completely avoided for up to 2 months after discontinuation.
F455,Take with food. Food increases absorption.
F456,Avoid excessive or chronic alcohol consumption. Alcohol increases the risk of gastric irritation.
F457,Limit caffeine intake. Caffeine and other acidic beverages increases the risk of gastric irritation.
F458,"Take with or without food. Food slightly increases bioavailability, but not to a clinically significant extent."
F459,Take with food. Food decreases incidence of diarrhea.
F460,"Take with or without food. However, if taken with ritonavir tablets, tipranavir should be taken with food."
F461,Avoid excessive or chronic alcohol consumption. Ingesting alcohol may increase the risk of developing a gastrointestinal bleed.
F462,Take with or without food. Taking meclofenamic acid with food reduces the rate and extent of its absorption; however it also reduces gastrointestinal upset caused by meclofenamic acid.
F463,Avoid multivalent ions. Magnesium and aluminum containing products can reduce the absorption of this medication.
F464,Avoid alcohol. Alcohol increases the risk of gastrointestinal bleeding.
F465,Take after a meal. This reduces irritating gastrointestinal effects.
F466,Ensure consistent Vitamin K intake. Changes in vitamin K intake may impact coagulation.
F467,Exercise caution with grapefruit products.
F468,"Avoid fruit juice. Fruit juices like grapefruit, orange, and apple may reduce bioavailability and overall exposure to the medication."
F469,Administer vitamin supplements. Vitamin B6 (pyridoxine) should be given with isoniazid to prevent deficiency.
F470,"Avoid alcohol. Avoid drinking alcoholic beverages such as unpasteurized beer; unless approved by your physician, as they may contain tyramine. Consuming alcohol may also increase the risk of isoniazid induced hepatitis and neuropathy."
F471,"Avoid chocolate. Chocolate contains caffeine, which should be limited during isoniazid therapy."
F472,"Avoid histamine-containing foods and supplements. Histamine-containing foods (e.g., skipjack, tuna, other tropical fish) can cause headaches, sweating, palpitations, flushing, and hypotension."
F473,"Avoid tyramine-containing foods and supplements. Tyramine-containing foods include cheese, red wine, fava beans, pickled food, cured food, and alcoholic beverages."
F474,Take separate from antacids. Taking this medication with antacids can reduce absorption.
F475,Take with or without food. Food has no significant effect on the bioavailability of rizatriptan but delays the time to reach peak concentration by an hour.
F476,"Avoid alcohol. Profound CNS depression, including sedation, respiratory depression, coma, and death may occur."
F477,Take with or without food. Cmax and AUC are not altered by food in a clinically significant way.
F478,Avoid echinacea. Co-administration may decrease effectiveness of immunosuppressants.
F479,Avoid alcohol. Alcohol may aggravate signs and symptoms of overdose.
F480,Avoid alcohol. Ingesting alcohol may increase the CNS depressant effects of zaleplon.
F481,Do not take with or immediately after a high-fat meal. The effects of zaleplon are reduced when taken with a high-fat meal.
F482,Take with or without food. Bioavailability may be slightly reduced by taking telmisartan with food.
F483,Take with or without food. Drug pharmacokinetics is unaffected.
F484,Avoid alcohol. Ingesting alcohol may cause additive CNS depressant effects.
F485,Take with or without food. Co-administration with food does not affect absorption.
F486,"Avoid xanthines. Xanthines, found in coffee and tea, can reduce the effectiveness of this medication."
F487,Take with or without food. Taking dipyridamole extrended release capusels with a high-fat meal minimally reduces it's AUC and Cmax.
F488,Avoid St. John's Wort. St. John's Wort may decrease the effectiveness of ethinylestradiol.
F489,"Avoid multivalent ions. Separate the administration polyvalent ions, including magnesium and aluminum-containing antacids, from lomefloxacin by at least 4 hours before and 2 hours after lomefloxacin dosing."
F490,Take with or without food. The rate and extent of absorption may be reduced when lomefloxacin is taken with food.
F491,Do not take with or immediately after a high-fat meal.
F492,Avoid alcohol. Alcohol with isotretinoin can lead to inflammation of the liver.
F493,Avoid vitamin A supplements.
F494,Take with food. High-fat food increases drug absorption.
F495,Take with food. Administering rivastigmine capsules with food delays absorption but increases the AUC.
F496,Take with food. The manufacturer recommends administration following a meal.
F497,Take with food. Take once daily after breakfast. Food decreases the rate but not the extent of absorption.
F498,Avoid alcohol. Gabapentin possesses CNS depressant activity that may be potentiated by co-administration with alcohol.
F499,"Avoid St. John's Wort. This herb induces CYP3A4 metabolism, which may reduce the serum concentration of doxorubicin."
F500,"Exercise caution with grapefruit products. Grapefruit inhibits CYP3A4 metabolism, which may increase the serum concentration of doxorubicin."
F501,"Take with or without food. Food does not affect bioavailability, but delays maximum concentrations by one hour."
F502,"Avoid multivalent ions. Take this medication 2 hours before or after the administration of antacids, calcium supplements, or iron supplements to avoid decreased absorption of hydrochlorothiazide."
F503,Avoid natural licorice. Licorice potentiates the hypokalemic effect of hydrochlorothiazide.
F504,"Limit salt intake. Avoid excessive salt, unless recommended by a physician."
F505,Take before a meal. Take cromolyn sodium 30 minutes before meals.
F506,Drink plenty of fluids. Drinking extra fluids will help pass more urine to prevent kidney problems and keep the kidneys working well.
F507,Take with or without food. Food slows absorption without decreasing the quantity absorbed.
F508,Take with food. Take metyrapone with milk or a snack according to the specific instructions for a single or multi-dose test.
F509,Take with food. Food markedly increases product bioavailability.
F510,Avoid alcohol. Alcohol increases the risk of hypoglycemia.
F511,"Avoid multivalent ions. Separate administration of aluminium, calcium, iron and magnesium containing products from medication by at least 2 hours."
F512,Do not take with or immediately after a high-fat meal. High fat meals increase drug exposure.
F513,Take on an empty stomach. Nausea and vomiting may occur if taken after food.
F514,Take on an empty stomach. Take mycophenolic acid at least 1 hour before or 2 hours after eating.
F515,Avoid alcohol. Drinking alcohol while on ketoconazole treatment may cause liver injury.
F516,Avoid multivalent ions. They may decrease ketoconazole concentrations.
F517,Take with food. Food decreases gastrointestinal irritation caused by ketoconazole.
F518,Avoid alcohol. Ingesting alcohol may increase the CNS depressant effects of methoxyflurane.
F519,"Avoid tyramine-containing foods and supplements. Consuming foods containing tyramine such as yogurt, aged cheese, ripe bananas, wine, and sourdough bread may increase the risk of having an uncontrolled hypertensive reaction."
F520,Take before a meal. Take selegiline oral disintegrating tablets before breakfast and at least 5 minutes before or after any food or drink. Taking selegiline with food reduces the AUC by approximately 60%.
F521,Take with food. Take selegiline capsules or tablets with breakfast and lunch. Food can increase the exposure to selegiline by 3-4 fold.
F522,Take with food. Bioavailability is increased 2- to 3-fold when taken with food.
F523,Avoid alcohol. Ingesting alcohol may increase the drowsiness caused by thalidomide.
F524,Take after a meal. Wait at least 1 hour after eating before taking thalidomide.
F525,Avoid alcohol. Alcohol may lead to an increased risk of severe hepatocellular toxicity.
F526,Take on an empty stomach. Absorption of rifampin is reduced by about 30% when the drug is ingested with food.
F527,Take with a full glass of water. Oral capsules should be taken with a glass of water.
F528,Take with food. Taking lubiprostone with food may reduce nausea.
F529,Avoid alcohol. Alcohol increases the systemic exposure to the drug.
F530,Take with or without food. Taking ergoloid mesylate with food may reduce gastrointestinal upset.
F531,Avoid grapefruit products. Praziquantel is metabolized by CYP450 enzymes.
F532,Take with food. Take tablets with water during meals.
F533,Avoid alcohol. Ingesting alcohol may reduce the effects of melatonin.
F534,Take after a meal. Administration of melatonin after eating slows the absorption and reduces the Cmax of melatonin.
F535,"Avoid multivalent ions. Avoid antacids containing magnesium and aluminum hydroxides when possible, otherwise separate the administration of antacids and this drug by several hours."
F536,Avoid excessive or chronic alcohol consumption. The risk of hypoglycemia is increased when alcohol is ingested.
F537,Avoid alcohol. Alcohol may increase the sedation caused by promethazine.
F538,Take with food. Food increases product absorption and reduces pharmacokinetic variability.
F539,"Take with or without food. Administration with food delays absorption, but not to a clinically significant extent."
F540,Take before a meal. Take 30 minutes before a meal or 30 minutes before departure for motion sickness.
F541,Avoid grapefruit products. Grapefruit products may increase the risk for atorvastatin related adverse effects such as myopathy and rhabdomyolysis.
F542,Take with or without food. Food decreases absorption but not to a clinically significant extent.
F543,Avoid multivalent ions. Separate administration from multivalent ions by at least two hours.
F544,"Take before a meal. To increase absorption, take 30 minutes before a meal."
F545,Take with plain water. Only mix vigabatrin oral solution powder with plain water.
F546,Take with food. Take with meals or up to 1 hour after a meal. Doses may be skipped for missed meals or fat-free meals.
F547,"Take with or without food. A high fat meal decreases Cmax and the time to reach Cmax, but not to a clinically significant extent."
F548,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Taking iloprost with anticoagulant/antiplatelet herbs may increase the risk of bleeding occurring as an adverse effect. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba."
F549,Take with or without food. Should be taken consistently in regards to meals.
F550,"Avoid grapefruit products. Grapefruit inhibits CYP3A4 and, therefore, may increase pimozide serum levels."
F551,"Take at the same time every day. Take XELODA 2 times a day at the same time each day, about 12 hours apart."
F552,Take with food. Take XELODA within 30 minutes after finishing a meal.
F553,"Take with plain water. Swallow XELODA tablets whole with water. Do not chew, cut, or crush XELODA tablets."
F554,Administer calcium supplement. This drug decreases calcium levels.
F555,"Avoid grapefruit products. Grapefruit down-regulates post-translational expression of CYP3A4, the major metabolizing enzyme of nifedipine. Grapefruit, in all forms (e.g. whole fruit, juice and rind), can significantly increase serum levels of nifedipine and may cause toxicity. Avoid grapefruit products while on this medication."
F556,Take with food. Administration with a meal significantly enhances bioavailability.
F557,"Avoid grapefruit products. Grapefruit inhibits CYP3A4 metabolism, which may increase the serum concentration of amiodarone."
F558,Avoid St. John's Wort. This herb induces the CYP3A4 metabolism of amiodarone. Therefore it may reduce the serum concentration and effectiveness of amiodarone.
F559,Take with or without food. Consistent food intake reduces the risk of hypoglycemia.
F560,Take with or without food. Co-administration with food may reduce gastrointestinal upset.
F561,"Avoid alcohol. Ingesting alcohol may precipitate a disulfiram-like reaction (flushing, nausea), or hypoglycemia."
F562,Take at least 2 hours before or after calcium supplements.
F563,Take on an empty stomach. Take at least 2 hours before or after meals.
F564,Take separate from antacids. Take at least 2 hours before or after antacids. The bioavailability of this medication is significantly reduced when administered with aluminum or magnesium containing antacids.
F565,Take with food. Food slows the absorption and reduces the incidence of adverse effects.
F566,Take with or without food. Food slightly alters kinetics but not to any clinically significant extent.
F567,Take with or without food. Administration with food may be helpful in diminishing potential gastrointestinal complaints occasionally associated with oral cephalosporin therapy.
F568,Avoid alcohol. Co-administration may enhance CNS adverse effects such as drowsiness and sedation.
F569,Avoid St. John's Wort. Co-administration may lead to decreased serum concentrations of doxepin.
F570,"Increase consumption of potassium-rich foods. Diclofenamide may cause hypokalemia, therefore consuming more potassium-rich foods may help prevent hypokalemia."
F571,Take on an empty stomach. Orally administered cloxacillin should be taken 1-2 hours prior to meals as the presence of food in the stomach and intestine reduces drug absorption.
F572,Avoid alcohol. Co-administration with alcohol may result in neuropsychiatric adverse effects and potentiation of CNS depressant effects.
F573,Take with or without food. Co-administration with food does not significantly affect pharmacokinetics.
F574,Take with or without food. A meal does not significantly affect the extent of absorption but delays Tmax by 40 minutes.
F575,Take on an empty stomach. A high fat meal will increase absorption.
F576,"Exercise caution with grapefruit products. While there is inconclusive evidence of the effect of grapefruit products on the systemic exposure to itraconazole, they may affect drug absorption."
F577,Take with food. Food promotes maximal absorption of itraconazole.
F578,"Avoid alcohol. Ingesting alcohol may potentiate the CNS depressant effects of procarbazine and may precipitate a disulfiram-like-reaction (nausea, flushing)."
F579,"Avoid tyramine-containing foods and supplements. Foods that contain tyramine include yogurt, aged cheese, ripe bananas, wine, and sourdough bread."
F580,"Avoid tyramine-containing foods and supplements. Avoid excess consumption (<100mg) of tyramine. Food that contains tyramine includes yogurt, aged cheese, ripe bananas, wine, and sourdough bread."
F581,Take on an empty stomach. Taking this medication on an empty stomach increases the speed of absorption.
F582,Avoid alcohol. The combined use of alcohol with psychotropic medications should be avoided.
F583,Avoid alcohol. Ingesting alcohol may worsen nausea and vomiting caused by ifosfamide.
F584,"Exercise caution with grapefruit products. Grapefruit inhibits the CYP3A4 metabolism of ifosfamide to its active metabolite, therefore reducing its efficacy."
F585,"Exercise caution with St. John's Wort. Close monitoring is warranted as this herb induces the CYP3A4 metabolism of ifosfamide to its alkylating active metabolites, including, chloroacetaldehyde, a nephrotoxic and neurotoxic metabolite."
F586,"Take separate from meals. When formulated as a buccal film or sublingual form, avoid eating or drinking until the film has completely dissolved."
F587,Take before a meal. Take 15-30 minutes before meals.
F588,Take with a full glass of water. Clindamycin may cause esophageal irritation if the dosage form becomes lodged.
F589,Take with or without food. Food does not appreciably alter the absorption of clindamycin.
F590,Avoid alcohol. Ingesting alcohol has unpredictable effects on the pharmacokinetics of oxymorphone. Alcohol may also potentiate the CNS depressant effects of oxymorphone.
F591,Take on an empty stomach. Take oxymorphone at least one hour before or two hours after eating as food may increase the absorption of oxymorphone.
F592,"Take with or without food. Food decreases absorption rate and maximum concentration, but not to a clinically significant extent."
F593,Take separate from meals. The presence of food decreases absorption. Take one hour prior to meals.
F594,Avoid alcohol. Ingesting alcohol may potentiate the CNS depressant actions of zopiclone.
F595,"Avoid grapefruit products. Grapefruit may reduce the CYP3A4 metabolism of zopiclone, increasing its sedative effects."
F596,Take with food. Taking rifapentine with food increases its bioavailability and reduces gastrointestinal upset. Rifapentine tablets can be crushed and mixed with semisolid food if necessary.
F597,"Take separate from meals. Eating during an intravenous infusion of flumazenil increases the elimination of flumazenil, potentially through elevated hepatic blood flow."
F598,"Avoid alcohol. Fomepizole reduces the metabolism of alcohol by alcohol dehydrogenase, and alcohol also reduces fomepizole metabolism and elimination."
F599,"Take with or without food. Co-administration with food reduces the rate, but not the overall extent, of absorption."
F600,"Take on an empty stomach. Food increases the bioavailability 6-fold, which may increase the risk of cardiotoxicity."
F601,"Take with or without food. Fatty meals may increase the systemic AUC of rifaximin, but do not impact Cmax. Rifaximin is an antibacterial used for local action in the gastrointestinal tract; therefore, changes in systemic exposure may not significantly impact efficacy."
F602,Administer vitamin supplements. Aminophylline may reduce Vitamin B6 levels as an adverse effect. Consider supplementation.
F603,"Avoid excessive or chronic alcohol consumption. Ingesting a large amount of alcohol may reduce aminophylline clearance, therefore increasing its serum concentration."
F604,"Exercise caution with grapefruit products. Grapefruit inhibits CYP3A4 metabolism, which may increase the serum concentration of aminophylline."
F605,Exercise caution with St. John's Wort. This herb induces the CYP3A4 metabolism of aminophylline. Therefore it may reduce the serum concentration and effectiveness of aminophylline.
F606,"Limit caffeine intake. Excessive caffeine intake with aminophylline may exacerbate caffiene-like side effects such as nausea, nervousness, irritability, insomnia and tremors."
F607,Take with food. This may reduce gastric irritation. Aminophylline absorption is slower when taken with food.
F608,"Take with or without food. If taken with food, take with a light meal."
F609,"Avoid echinacea. Co-administration may decrease the effectiveness of immunosuppressants, and echinacea may induce CYP3A4 increasing paclitaxel metabolism."
F610,"Exercise caution with grapefruit products. Grapefruit inhibits CYP3A4 metabolism, which may increase the serum concentration of paclitaxel."
F611,Exercise caution with St. John's Wort. This herb induces the CYP3A4 metabolism of paclitaxel and may reduce its serum concentration.
F612,Avoid grapefruit products. Co-administration with grapefruit-containing products inhibits the metabolism of saquinavir.
F613,Take before a meal. Co-administration with food decreases bioavailability - take 30 minutes before meals.
F614,Avoid multivalent ions. Iron salts may reduce levodopa absorption.
F615,Take with or without food. A diet high in protein may delay absorption and AUC of levodopa.
F616,Drink plenty of fluids. Drink water to avoid dehydration while taking aripiprazole.
F617,Take before a meal. Take 30 minutes before meals.
F618,Avoid alcohol. Alcohol can potentiate hypotension and dizziness when taken with this drug.
F619,Take with food. Food reduces nausea.
F620,Avoid alcohol. Ingesting alcohol may potentiate the CNS depressant effects of alimemazine/trimeprazine.
F621,Take after a meal. Taking alimemazine/trimeprazine after eating may reduce drowsiness by allowing for more gradual absorption.
F622,Avoid alcohol. The official product labeling suggests avoiding the use of CNS depressants.
F623,"Avoid grapefruit products. Grapefruit inhibits CYP3A4 metabolism, which may increase the serum levels of docetaxel."
F624,"Exercise caution with St. John's Wort. This herb induces CYP3A4 metabolism, which may reduce the serum concentration of docetaxel."
F625,"Take with food. Food does not affect drug absorption or exposure, but may mitigate the risk for drug-related adverse effects."
F626,"Avoid grapefruit products. Grapefruit may reduce the CYP3A4 metabolism of dasatinib, increasing its serum levels."
F627,Avoid St. John's Wort. This herb induces CYP3A metabolism and may reduce serum levels of dasatinib.
F628,"Take with or without food. High fat meals may increase the AUC of dasatinib by to 14%; however, the product label recommends taking dasatinib with or without food."
F629,"Avoid antacids. Urinary excretion of lisdexamfetamine is elevated when the urine is more acidic. Antacids like sodium bicarbonate alkalinize the urine; therefore, they may reduce lisdexamfetamine elimination."
F630,"Limit foods and supplements high in vitamin C. Urinary excretion of lisdexamfetamine is elevated when the urine is more acidic. Vitamin C acidifies the urine and, therefore, may increase lisdexamfetamine elimination."
F631,"Take with or without food. Food prolongs Tmax by approximately one hour, but does not significantly affect drug exposure."
F632,"Avoid grapefruit products. Grapefruit may reduce the CYP3A4 metabolism of lapatinib, increasing its serum levels."
F633,"Take separate from meals. Take lapatinib at least 1 hour before or after eating, as lapatinib bioavailability is elevated by food."
F634,Take with food. Posaconazole suspension can also be taken with a nutritional supplement drink or carbonated beverage if a full meal cannot be consumed.
F635,Avoid grapefruit products. Grapefruit may reduce the CYP3A4 metabolism of sunitinib.
F636,"Avoid St. John's Wort. This herb induces CYP3A4 metabolism, which may reduce the serum concentration of sunitinib."
F637,"Avoid excessive or chronic alcohol consumption. Varenicline may increase the effects of alcohol; therefore, reduce consumption of alcohol when starting varenicline."
F638,"Take with or without food. Food increases exposure to hydralazine, though this may not be clinically significant."
F639,Take before a meal. Inject subcutaneously within 60 minutes before morning and evening meals.
F640,Take with food. Mecasermin should be administered shortly before or after a meal due to its hypoglycemic effects.
F641,Avoid alcohol. Ingesting alcohol may increase the risk of hypoglycemia.
F642,"Take after a meal. Taking sulfadoxine with food, may reduce gastrointestinal irritation."
F643,Avoid milk and dairy products. Dairy products contain cations such as calcium which may interfere with the absorption of rolitetracycline.
F644,Take with food. Dose adjust as needed. Changes in meal composition may alter the response to insulin aspart.
F645,Take with food. Once daily administration should be given with the evening meal or prior to bedtime.
F646,"Avoid alcohol. Acute alcohol consumption may increase phenytoin serum concentration, but chronic alcohol use may reduce phenytoin serum concentration."
F647,Avoid St. John's Wort. This herb may reduce the serum concentration of phenytoin.
F648,Avoid alcohol. Ingesting alcohol with cefamandole may precipitate a disulfiram like reaction due to elevated levels of acetaldehyde in the blood.
F649,"Avoid alcohol. Ingesting alcohol with cefoperazone may precipitate a disulfuram like reaction including symptoms such as flushing, tachycardia, sweating, and headache."
F650,Avoid alcohol. Alcohol can cause a disulfiram effect.
F651,"Take with or without food. Food decreases absorption, but not to a clinically significant extent."
F652,Avoid alcohol. Ingesting alcohol may increase the CNS depressant effects of amobarbital.
F653,Take on an empty stomach. Taking oral amobarbital sodium on an empty stomach increases the rate of absorption.
F654,"Take with or without food. The onset of action of procaterol may be delayed when taken with food, however, there is no impact on the efficacy or duration of action of procaterol."
F655,Avoid St. John's Wort. Co-administration of rasagiline with this herb is contraindicated.
F656,"Avoid tyramine-containing foods and supplements. Avoid food containing high amounts of tyramine (>150mg) as these may increase the risk of hypertensive reaction. Tyramine-containing foods include cheese, red wine, fava beans, pickled food, cured food, and alcoholic beverages."
F657,"Take with food. When using magnesium to treat calcium oxalate nephrolithiasis, magnesium oxide should be taken with food."
F658,Take with or without food. Many different products contain magnesium oxide; refer to the product monograph for more specific instruction. Taking magnesium supplements with food may reduce the risk of diarrhea.
F659,Take with food. Taking cortisone acetate with food may reduce gastrointestinal upset.
F660,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Additive anticoagulant/antiplatelet activity may increase the risk of bleeding. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba."
F661,Take with or without food. Food insignificantly decreases the rate of absorption.
F662,Take with or without food. Many different products contain sodium bicarbonate; refer to the product monograph for more specific instruction.
F663,Take with food. Taking bezafibrate with food or after meals slows the absorption of bezafibrate.
F664,"Avoid avocado. Persea americana (avocado) is a plant that affects the heart by interfering with the Na+, K+, ATPase, which may cause an additive effect with digitoxin."
F665,Do not take with bran and high fiber foods. The absorption of digitoxin is more predictable than the absorption of digoxin in the presence of high-fiber food.
F666,Take with or without food. Taking salsalate with food may slow the absorption of salsalate but does not significantly impact the Cmax or AUC.
F667,Take with or without food. Food is not expected to interfere with absorption.
F668,"Take separate from meals. Take ceftibuten oral suspension at least one hour after eating, or two hours before eating."
F669,Take with or without food. Separating the administration of ceftibuten from food is not required for ceftibuten capsules because the impact of food on bioavailability is less significant.
F670,"Ensure consistent Vitamin K intake. Changes in vitamin K intake may impact coagulation. Foods containing vitamin K include spinach, kale, and swiss chard."
F671,Take with fluids. Do not take with carbonated fluids.
F672,Take with food. Take with a meal unless this interferes with other medications.
F673,"Take with or without food. When taken after meals, the Cmax and Tmax of oral antipyrine are reduced, but the overall bioavailability is not significantly impacted."
F674,Take with or without food. Food does not affect the bioavailability.
F675,Avoid alcohol. Alcohol can enhance the CNS depressant effects of this drug.
F676,"Avoid alcohol. Alcohol can increase CNS depressant effects, such as fatal respiratory or cardiac depression."
F677,Avoid alcohol. Ingesting alcohol may increase the sedative and CNS depressant effects of bromazepam.
F678,Take with or without food. Taking bromazepam with food may reduce its Cmax and AUC.
F679,"Avoid alcohol. Ingesting alcohol may cause a disulfiram-like-reaction (flushing, dizziness, tachycardia)."
F680,"Take after a meal. If chloral hydrate is being used for sedation, it should be taken after meals. Otherwise, it can be taken with or without food."
F681,"Avoid fruit juice. Fruit juice may acidify the gastrointestinal tract, decreasing absorption of amphetamines."
F682,Take separate from meals. Take phendimetrazine one hour before eating.
F683,Avoid grapefruit products. Grapefruit may delay the absorption of this medicaiton.
F684,Avoid high-fiber foods. High-fiber foods may affect absorption. Separate medication administration by at least 1 hour.
F685,Avoid multivalent ions. Avoid iron and calcium containing products as well as antacids.
F686,Avoid alcohol. Ingesting alcohol may increase the drowsiness and CNS depression caused by quazepam.
F687,"Avoid grapefruit products. Grapefruit inhibits the metabolism of everolimus through the CYP3A4 pathway and, therefore, may increase serum levels of everolimus."
